fileName,Max Dep Ref,GraphBuildTime,CalcLookupSize,CalcLookupTime,CalcPostProcessedLookupSize,CalcPostProcessedLookupTime
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,214,6479,6095,6478,6163
Zbiornik.xlsx,Arkusz2:B14,508,21845,2871,21845,2919
zadanie5.xlsx,dane:B19,375,21816,4491,21814,4655
LR2.xlsx,Задание 1:B1,27,2430,4134,2430,4138
VT_EUReg_IND_V1p7.xlsx,IAL ICU INF:F193,864,7326,9231,7326,9267
standard_deviation_full.xlsx,Sheet1:AA2,167,23040,6671,23040,6702
Binno test Status Nov01_2018.xlsx,Test_worksheet:B104,148,23484,25868,23484,25895
Signals.xlsx,Signal Verification0:H3,137,15983,33836,15983,33855
rcv_ep2.xlsx,Signal Verification0:H3,300000,300000,300000,300000,300000
teeeest.xlsx,Signal Verification0:H3,300000,300000,300000,300000,300000
