fileName,Max Dep Ref,GraphBuildTime,CalcLookupSize,CalcLookupTime,CalcPostProcessedLookupSize,CalcPostProcessedLookupTime
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,162,6479,3892,6479,3952
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,334,18786,50100,18786,50162
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,254,4545,3765,4541,3801
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,147,2973,315,2970,330
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,102,4545,2089,4541,2100
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,201,29029,95483,29029,95551
gerald_nemec_000_1_1.pst.11.xls,Cash Flows:B12,68,4266,6771,4266,6779
benjamin_rogers_000_1_1.pst.191.xls,CCFMODEL:H10,289,2973,259,2970,262
jim_schwieger_000_1_1.pst.110.xls,Sheet2:J5,30,4212,2681,4212,2688
jeff_dasovich_000_1_1_1.pst.138.xls,SCE Assessment:C44,56,3567,2200,3548,2202
