fileName,Max Dep Ref,GraphBuildTime,CalcLookupSize,CalcLookupTime,CalcPostProcessedLookupSize,CalcPostProcessedLookupTime
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,573,6479,9917,6478,10002
Zbiornik.xlsx,Arkusz2:B14,1030,21845,2224,21845,2285
zadanie5.xlsx,dane:B19,168,21816,1777,21814,1838
LR2.xlsx,Задание 1:B1,12,2430,3009,2430,3015
VT_EUReg_IND_V1p7.xlsx,IAL ICU INF:F193,373,7326,17800,7326,17833
standard_deviation_full.xlsx,Sheet1:AA2,211,23040,11164,23040,11231
Binno test Status Nov01_2018.xlsx,Test_worksheet:B104,156,23484,20476,23484,20507
Signals.xlsx,Signal Verification0:H3,218,15983,34074,15983,34094
rcv_ep2.xlsx,Signal Verification0:H3,300000,300000,300000,300000,300000
teeeest.xlsx,Signal Verification0:H3,300000,300000,300000,300000,300000
