fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,964,3,25,1,26
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,219,2978,69,2978,78
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1720,4385,150,4385,158
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,143,306,2,306,2
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,213,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,72,131,1,131,1
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,144,306,1,306,2
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,141,1,1,1,1
david_delainey_000_1_2.pst.137.xls,ENA:U13,91,66,1,66,1
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,130,357,6,345,6
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,511,416,4,403,5
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,141,613,3,2,4
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1120,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,403,3793,60,3791,65
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,93,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,374,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,43,199,1,199,1
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,233,667,7,667,8
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,136,1113,8,1113,9
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,233,6479,45,6479,52
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,234,729,4,729,5
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,102,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N28,86,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,186,720,5,720,6
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,211,669,5,1,5
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,101,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,100,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1484,4385,68,4385,72
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,142,875,8,865,9
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,197,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,66,543,4,543,4
