fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
dutch_quigley_000_1_1.pst.202.xls,A:DR249,382,496,3,495,3
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,397,10866,104,10866,113
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,604,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,531,18,0,18,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,105,37,1,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,252,223,2,222,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,167,584,11,583,12
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,95,61,0,61,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,96,716,12,716,12
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,147,9,0,9,0
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,45,235,1,233,1
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,89,69,0,16,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,95,4808,1415,3231,1418
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,106,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,152,306,2,306,2
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,929,84,1,1,1
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,814,3,0,3,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:K727,84,3,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,250,729,4,729,5
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:D92,228,461,5,461,5
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,252,729,5,729,5
benjamin_rogers_001_1_1.pst.2.xls,Wilton:T114,91,35,1,35,1
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:D30,225,6,0,2,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J28,105,259,2,259,3
benjamin_rogers_000_1_1.pst.190.xls,CALC:FA17,602,7707,125,7707,132
tracy_geaccone_000_1_1.pst.308.xls,Annual Fuel Calc Alt:I30,450,69,0,69,0
benjamin_rogers_000_1_1.pst.142.xls,Debt:B54,73,366,3,364,3
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,105,37,1,21,1
eric_saibi_000_1_1.pst.218.xls,Graph:D4,92,49,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-EGL:P29,69,3,0,3,0
phillip_m_love_000_1_1.pst.672.xls,m_chg:A7,571,32,0,1,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:D108,239,461,4,461,5
andy_zipper_000_1_1.pst.122.xls,DD-EGL:P29,926,3,0,3,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C38,106,37,0,21,0
darrell_schoolcraft_000_1_1_1.pst.219.xls,Duke 500621:H12,72,235,2,233,2
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AQ17,160,1432,18,1429,19
john_griffith_000_1_1.pst.546.xls,Power:V62,101,46,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Debt:B54,70,366,3,364,3
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:D30,230,6,0,2,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:Q355,666,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J11,103,251,2,251,3
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:D108,229,461,4,461,4
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,89,61,0,61,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I2376,81,4,0,4,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,1685,4385,68,4385,71
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CQ24,215,4,0,4,0
andy_zipper_000_1_1.pst.69.xls,DD-EGL:P29,71,3,1,3,1
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AB14,488,584,12,583,12
andy_zipper_000_1_1.pst.115.xls,DD-EGL:P29,813,3,0,3,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1382,20,0,1,0
lynn_blair_000_1_1.pst.12.xls,Duke 500621:H12,76,235,1,233,2
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:AH22,1560,5943,57,5942,61
mike_grigsby_000_1_1_1.pst.106.xls,Curves:A1,1082,899,29,899,29
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:D140,233,461,5,461,5
don_baughman_000_1_1.pst.191.xls,Sheet1:C38,115,37,0,21,0
