fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,1830,3,10,1,10
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,662,205,10,205,11
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2878,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,120,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,1087,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,185,15,1,15,1
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,234,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,141,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,364,5,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,422,1,1,1,1
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,2828,15,1,13,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,246,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,807,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,894,29,0,29,0
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,261,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,433,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,105,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,1146,215,5,215,6
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,489,126,1,108,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,496,6479,56,6478,71
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,655,297,3,297,3
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,331,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N470,119,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,832,1,0,1,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,344,2,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,336,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,312,37,0,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2717,28,0,27,0
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,510,209,2,209,3
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,1015,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,218,159,2,154,2
