fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,860,105,2,59,2
dutch_quigley_000_1_1.pst.202.xls,Position:Z2,763,49,0,26,0
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,859,105,2,59,2
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):F500,1077,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B759,829,19,0,19,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C20,292,37,1,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:Y86,629,270,2,270,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AW14,741,62,0,61,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,241,3,0,3,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,267,10,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,411,225,2,216,2
michelle_lokay_000_1_2_1.pst.24.xls,PNM 500617:H12,89,33,0,30,0
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,128,19,0,19,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,91,5,0,5,0
don_baughman_000_1_1.pst.152.xls,Sheet1:C20,298,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,120,4,1,4,1
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,2186,2971,42,2967,45
andy_zipper_000_1_1.pst.92.xls,TRANSACTIONSUMMARYREPORT -1:N4780,992,4,0,4,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,136,1,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,683,297,2,297,3
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,1105,565,6,565,6
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,628,297,2,297,3
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,314,44,1,44,1
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,250,5,0,3,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,323,259,3,259,3
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,1615,2033,27,2030,29
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,1296,210,4,208,4
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,219,345,3,345,3
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,304,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,160,3,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,119,4,0,4,0
phillip_m_love_000_1_1.pst.672.xls,m1:A5,1650,4,0,3,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,1099,565,6,565,6
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,964,4,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,317,37,0,21,0
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,146,41,0,41,0
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,778,224,5,212,5
john_griffith_000_1_1.pst.546.xls,Power:AF154,224,10,0,8,0
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,205,345,3,345,4
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,265,5,0,3,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,803,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,308,247,4,247,4
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,1141,565,6,565,7
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,242,3,0,3,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,201,8,0,8,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,2815,28,1,27,1
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,939,4,0,4,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,114,4,0,4,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,1843,62,0,61,0
