fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,1740,3,10,1,10
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,627,205,9,205,10
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2777,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,155,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,1134,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,320,15,0,15,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,155,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,137,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,403,5,1,3,1
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,277,1,0,1,0
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,2910,15,0,13,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,245,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,744,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,916,29,0,29,0
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,259,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,441,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,106,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,1228,215,5,215,6
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,457,126,1,108,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,509,6479,64,6478,78
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,722,297,3,297,3
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,339,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N470,132,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,747,1,0,1,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,355,2,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,353,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,348,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2736,28,0,27,0
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,505,209,3,209,3
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,1015,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,221,159,3,154,3
kevin_presto_000_1_1.pst.261.xls,Results:K40,71,2,1,1,1
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,134,1,0,1,0
