fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AW14,223,584,12,583,12
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,388,10866,93,10866,98
dutch_quigley_000_1_1.pst.202.xls,Position:Z2,298,2555,23,2532,25
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,380,10866,122,10866,129
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):F500,566,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B759,472,19,1,19,1
don_baughman_000_1_1.pst.190.xls,Sheet1:C20,99,37,1,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:Y86,270,270,2,270,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AW14,158,584,12,583,12
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,84,61,0,61,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,91,716,11,716,12
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,138,225,2,216,2
michelle_lokay_000_1_2_1.pst.24.xls,PNM 500617:H12,41,236,2,232,2
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,85,3948,27,3948,30
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,89,4808,1156,3231,1159
don_baughman_000_1_1.pst.152.xls,Sheet1:C20,100,37,14,21,14
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,143,306,1,306,1
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,858,4545,44,4541,46
andy_zipper_000_1_1.pst.92.xls,TRANSACTIONSUMMARYREPORT -1:N4780,779,9,0,4,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,80,825,5,1,5
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,260,729,5,729,5
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,219,667,7,667,7
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,239,729,5,729,5
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,87,46,0,45,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,217,1077,6,1077,6
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,101,259,2,259,2
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,555,2973,34,2970,36
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,359,454,4,454,5
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,70,543,4,543,4
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,100,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,86,49,0,2,1
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,66,8,0,8,0
phillip_m_love_000_1_1.pst.672.xls,m1:A5,402,523,3,523,4
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,283,667,4,667,5
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,867,9,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,100,37,0,21,0
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,68,349,2,349,2
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,152,1432,19,1428,20
john_griffith_000_1_1.pst.546.xls,Power:AF154,95,2480,31,2479,33
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,66,543,4,543,4
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,216,1077,5,1077,6
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,695,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,97,251,2,251,2
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,216,667,6,667,6
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,84,61,0,61,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,77,8,1,8,1
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,1597,4385,69,4385,71
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,203,4,0,4,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,62,8,0,8,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,423,584,12,583,12
andy_zipper_000_1_1.pst.115.xls,TRANSACTIONSUMMARYREPORT -1:N4780,781,9,0,4,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1175,20,0,1,0
lynn_blair_000_1_1.pst.12.xls,USGT 500616:G12,73,349,3,349,3
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:D22,1528,5959,66,5958,70
mike_grigsby_000_1_1_1.pst.106.xls,Power Curve:J5,1083,31738,524,31738,551
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:C58,224,667,7,667,8
don_baughman_000_1_1.pst.191.xls,Sheet1:C20,100,37,0,21,0
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C20,134,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D2,68,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:A9,66,693,4,1,4
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,110,43,1,41,1
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:L14,200,14,1,7,1
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,121,372,2,371,2
andy_zipper_000_1_1.pst.71.xls,DD-ENA:F500,62,8,0,8,0
louise_kitchen_000_1_1_1_1.pst.212.xls,West Power Origination:M21,73,54,0,54,0
dan_hyvl_000_1_1.pst.112.xls,Seller's's PP Calc:A12,80,481,3,481,3
andy_zipper_000_1_1.pst.54.xls,DD-ENA:F500,63,6,0,6,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,238,729,5,729,5
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:C2327,124,3,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Mar:I16,134,142,1,142,1
benjamin_rogers_000_1_1.pst.12.xls,Raw Data:A27129,223,3,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Power Curve:J5,1189,34481,519,34481,547
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,103,139,1,139,1
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3288,346,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,157,306,1,306,1
tracy_geaccone_000_1_1.pst.307.xls,WESTCompare0201:AP7,362,454,4,454,5
