fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
monika_causholli_000_1_1.pst.60.xls,5186,6403,14567,81,82,241,0,0,48,9399,0,0,0,0,21,4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
david_delainey_000_1_2.pst.135.xls,5499,18889,15784,815,693,304,7,14,333,15313,0,0,0,0,13,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,340
lindy_donoho_000_1_1_1.pst.10.xls,10377,20515,19625,1926,1726,419,0,0,719,18618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,1007
lindy_donoho_000_1_1_1.pst.11.xls,10368,20497,19554,2048,1783,419,0,0,776,18547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,1007
lindy_donoho_000_1_1_1.pst.13.xls,10387,20518,19574,2053,1787,421,0,0,778,18565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,1009
lindy_donoho_000_1_1_1.pst.142.xls,10262,20258,19328,2017,1756,407,0,0,749,18321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,1007
lindy_donoho_000_1_1_1.pst.15.xls,10262,20258,19328,2017,1756,424,0,0,749,18321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,1007
lindy_donoho_000_1_1_1.pst.17.xls,10387,20518,19574,2053,1787,423,0,0,778,18565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,1009
michelle_lokay_000_1_2_1.pst.24.xls,4444,6445,7805,583,427,102,15,446,233,6368,0,0,0,0,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165
jane_tholt_000_1_1.pst.16.xls,4642,7346,9913,2721,2058,294,2,4,1157,7031,0,0,0,0,684,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,215
jane_tholt_000_1_1.pst.18.xls,4646,7350,9916,2721,2059,293,2,4,1159,7035,0,0,0,0,684,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,214
jane_tholt_000_1_1.pst.19.xls,4646,7350,9916,2721,2059,307,2,4,1159,7035,0,0,0,0,684,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,214
robin_rodrigue_000_1_1.pst.53.xls,7003,11335,10609,2559,2102,195,46,846,721,6441,0,0,1,31,35,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,1299
kevin_hyatt_000_1_1.pst.120.xls,4905,6986,8583,614,457,113,15,448,254,7010,0,0,0,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,173
michelle_lokay_000_1_2_1.pst.368.xls,4898,6965,8569,614,456,113,15,448,254,6996,0,0,0,0,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,171
kevin_presto_000_1_1.pst.473.xls,26276,44639,36692,56,38,300,0,0,21,34206,0,0,0,0,17,2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vkaminski_000_1_1_1.pst.24.xls,6067,11413,16230,78,51,259,0,0,47,10685,0,0,0,0,3,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
chris_germany_000_1_1_1.pst.109.xls,6901,7241,13851,4432,8174,339,0,0,5377,10987,0,0,0,0,65,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2732,2732
chris_germany_000_1_1_1.pst.84.xls,6942,7241,13893,4363,8174,341,0,0,5410,11062,0,0,0,0,65,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699,2699
chris_germany_000_1_1_1.pst.96.xls,6912,7241,13862,4413,8175,340,0,0,5383,11003,0,0,0,0,65,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2727,2727
chris_germany_000_1_1_1.pst.99.xls,6910,7241,13860,4417,8175,341,0,0,5382,11000,0,0,0,0,65,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728,2728
teb_lokey_000_1_1.pst.20.xls,7297,12892,15338,1167,952,291,78,192,756,14919,0,0,0,0,12,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106
chris_germany_000_1_1_1.pst.125.xls,6925,7569,13888,4823,8226,368,0,0,5376,10974,0,0,0,0,62,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2788,2788
bill_williams_iii_000_1_1.pst.68.xls,33198,50550,73190,5669,5899,1333,62,1488,2680,58446,0,0,0,0,615,10714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2542,2542
jonathan_mckay_000_1_1.pst.11.xls,15342,35859,36099,547,347,677,15,59,268,35965,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57
jonathan_mckay_000_1_1.pst.12.xls,15342,35859,36099,547,347,710,16,61,267,35963,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57
jonathan_mckay_000_1_1.pst.13.xls,15346,35859,36103,546,346,683,16,61,267,35968,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56
jonathan_mckay_000_1_1.pst.14.xls,15339,35859,36096,544,345,680,16,61,266,35961,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56
jonathan_mckay_000_1_1.pst.15.xls,15329,35849,36086,542,344,683,16,61,265,35951,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56
stacey_white_000_1_1.pst.382.xls,8803,14196,12394,4060,3233,247,69,2070,663,7142,0,0,0,0,121,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,2380
tracy_geaccone_000_1_1.pst.238.xls,10696,16614,16321,4367,3316,403,4,47,2495,15039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,817
tracy_geaccone_000_1_1.pst.266.xls,10633,16494,16229,4340,3305,418,4,47,2479,14942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,822
rick_buy_000_1_2_1.pst.28.xls,6835,15698,17295,344,268,209,59,173,201,17057,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
frank_ermis_000_1_1.pst.180.xls,9841,37159,28095,542,304,244,1,152,101,27590,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200
john_lavorato_001_1_1_1.pst.86.xls,9620,27730,18740,225,124,120,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
mike_grigsby_000_1_1_1.pst.133.xls,9620,27730,18740,225,124,122,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
mike_grigsby_000_1_1_1.pst.146.xls,9621,27730,18740,225,124,120,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
mike_grigsby_000_1_1_1.pst.147.xls,9621,27730,18740,225,124,121,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
mike_grigsby_000_1_1_1.pst.188.xls,9838,37159,28095,542,304,254,1,152,101,27590,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200
mike_grigsby_000_1_1_1.pst.189.xls,9841,37159,28095,542,304,244,1,152,101,27590,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200
mike_grigsby_000_1_1_1.pst.247.xls,9536,27613,18635,70,40,120,1,152,14,18307,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
mike_grigsby_000_1_1_1.pst.248.xls,9536,27613,18635,70,40,128,1,152,14,18307,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
mike_grigsby_000_1_1_1.pst.250.xls,9620,27730,18740,225,124,170,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
mike_grigsby_000_1_1_1.pst.251.xls,9620,27730,18740,225,124,124,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
mike_grigsby_000_1_1_1.pst.255.xls,9620,27730,18740,225,124,120,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
mike_grigsby_000_1_1_1.pst.256.xls,9620,27730,18740,225,124,127,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
