fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :AW1,240,216,1,216,2
Datos.xlsx,Movimientos:L449,97,1,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:A26284,1263,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V10,730,8399,64,1,67
MR_2016Q4_Exam.xlsx,Sheet1:F1929,468,1,0,1,0
30-4.xlsx,Load-Displacement:D41,427,1439,9,1431,10
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,Bonus1:D8,300,4,0,1,0
KickstarterStats.xlsx,Outcomes Based on Goal:D12,334,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,nguyen vat lieu kho:K45,86,53,0,53,0
Surf_overlay_diag_E.xlsx,ZIKV:A41,385,5,0,2,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:H11754,512,2,0,2,0
crime_v3.xlsx,crime_v3:C11,3321,52484,461,1,482
StarterBook_jjree.xlsx,Original Data:I706,274,1,0,1,0
PV Angebots Tool.xlsx,PV-Data:H7852,1610,3,0,2,0
VIL-2015-12.xlsx,DEC 20:Q11,142,12,1,12,1
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S82,6237,8,0,8,0
Jan_2011.xlsx,Formatted Data:E1770,107,562,5,562,6
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J457,207,2,0,2,0
Solution_36.xlsx,Лист2:F13338,8644,6,1,2,1
Final result.xlsx,County_r_clean_nn_pred (5):Y38,170,8,1,3,1
Question 5.xlsx,Pre-Trade Single Stock:AJ25,2004,49086,450,49086,489
AP-Spring2018 (For Students).xlsx,HW6-Q1:M1,379,309,4,309,4
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:AF83,227,25,0,25,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:H6,142,34,0,33,0
resultsTesting10multi.xlsx,resultsTesting2504:P45,66,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,91,2,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A5,495,71,0,71,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,230,1,1,1,1
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,1272,13,1,12,1
CL4.xlsx,Sheet30:B61,187,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,210,4,0,4,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:X287,305,2,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:H5362,1379,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CEA5,94,2,0,1,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,preCF:F54,374,25,0,17,0
shoe_data.xlsx,Germany:AM28,554,60,1,60,1
出行属性.xlsx,Sheet1:I14097,2324,1,0,1,0
KickStarter Data Analysis.xlsx,Data:I3500,247,1,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,2-Party US Pres Results & PVIs:IC6,214,7,1,7,1
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:G38,464,6,1,1,1
allTweets.xlsx,all:A2880,678,2,0,1,0
Hypotheekrente.xlsx,Lineair:C2,373,1439,9,1439,9
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:C88,74,147,2,133,2
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G2,285,1572,8,1,8
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,data-voor-lippo:B6,138,167,0,166,0
ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,241,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:D5,196,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B4747,88,1,0,1,0
Accidents.xlsx,Data:X21117,383,1,0,1,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,1087,504,2,504,2
Test Runs.xlsx,Test 4b:B2,342,2,0,2,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):L8066,716,875,12,614,13
DMD_PRJ.xlsx,COM:J4,709,5459,210,5459,213
Sample1.xlsx,Tabelle1:A40452,2437,1,1,1,1
tasa-de-homicidios.xlsx,Masivos:C6,117,9,0,7,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C7047,1827,10011,78,4,83
common.xlsx,Traditional:A1798,93,2,0,2,0
OECD.xlsx,AUT:S212,159,16,0,1,0
SolvedStarterBook.xlsx,Bonus:D11,188,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T56,2131,4,0,1,0
FN-2016-2019(1).xlsx,Monthly:B10,78,35,0,1,0
MLX90640 example data.xlsx,To calculation:B4,45,1668,14,1668,16
منزل النور.xlsx,المشاريع:A3,154,355,2,1,2
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:F3804,813,7,0,3,1
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:L67,572,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M436,67,2,0,1,0
accum-temperature.xlsx,Лист1:J16036,2265,1,0,1,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:E852,52,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,preCF:F13,522,28,1,18,1
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B11,235,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U42,157,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CEA5,161,2,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:D9009,844,1,0,1,1
gaslines_model_public.xlsx,Transect:A9,3216,69509,47244,69509,47316
edevlet-mezarlik-verileri.xlsx,Toplam:C452,232,7,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1350,48920,430,48920,498
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C3,1096,118,1,117,1
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,Fail list:T5,447,468,2,1,2
工作簿1-20181122170147433.xlsx,不良明细:CEA5,165,2,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:C11,344,5610,39,5610,43
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:E7,3421,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,2060,946,5,1,5
2017 PoB by Race All.xlsx,PoB KC Tracts:R90,397,5,0,5,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T54,89,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:B38,58,15,0,3,0
freeze_example.xlsx,Sheet:C529,369,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,256,29036,251,1,256
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):I187,128,2,0,2,0
countytractfiles.xlsx,Sheet1:A5847,120,2,0,1,0
mercury1650pt.xlsx,siptm:AY6483,321,1,0,1,0
Ex4-5 Team Rating v2 (4).xlsx,Model:T85,732,342,3,340,3
Solution_lesson_2.xlsx,All:F40,262,4002,28,3,30
MensTennisRPI.xlsx,RPI:B285,4771,1,0,1,0
webStore.xlsx,WebStore_copy:AD40,1131,1580,9,2,9
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,150,227,1,1,1
fin-v8.xlsx,Sheet:O13944,6244,2,0,2,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:G11216,2502,2,0,1,0
