fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :O2,260,220,2,220,2
Datos.xlsx,Movimientos:F596,132,2,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:D27245,1374,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V9,831,8399,82,1,85
MR_2016Q4_Exam.xlsx,Sheet1:E2510,549,2,0,2,0
30-4.xlsx,Load-Displacement:D25214,356,1439,11,1431,12
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,StatusByCategory:A3,327,8,0,2,0
KickstarterStats.xlsx,Outcomes Based on Goal:D2,363,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,BKE:F42,96,1249,10,1249,11
Surf_overlay_diag_E.xlsx,ZIKV:E1046472,362,1,0,1,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:M22325,491,2,0,2,0
crime_v3.xlsx,crime_v3:C81,3795,52484,438,1,460
StarterBook_jjree.xlsx,BONUS1:E7,318,3,0,1,0
PV Angebots Tool.xlsx,PV-Angebot:A2,1704,5,0,5,0
VIL-2015-12.xlsx,DEC 8:Q34,70,9,1,9,1
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S12749,6846,8,1,8,1
Jan_2011.xlsx,Formatted Data:D2700,120,3183,24,521,26
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J1876,186,2,0,2,0
Solution_36.xlsx,Лист2:G50849,9827,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y685,188,8,1,3,1
Question 5.xlsx,Pre-Trade Single Stock:AJ25,2232,49086,337,49086,377
AP-Spring2018 (For Students).xlsx,Final Project:J1,410,315,7,315,8
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:Z82,257,25,0,25,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:G345,157,49,0,48,1
resultsTesting10multi.xlsx,resultsTesting2504:H855,72,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,107,2,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,609,71,0,71,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Report:C6,139,4177,30,1,31
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,988,13,0,13,0
CL4.xlsx,Sheet30:B35,205,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,200,5,0,5,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,266,3,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:J963,1385,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CBJ5,104,2,0,1,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,未审报表分析:D31,395,92,1,92,1
shoe_data.xlsx,Al Bundy:C14970,658,14967,130,3,137
出行属性.xlsx,Sheet1:M66068,2421,1,0,1,0
KickStarter Data Analysis.xlsx,Data:N2930,224,2,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,Overall US Pres Results & PVIs:JJ12,277,9,1,9,1
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:B44,525,6,0,1,0
allTweets.xlsx,all:A17295,811,2,0,1,0
Hypotheekrente.xlsx,Lineair:C114,226,991,6,991,7
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,80,237,2,110,2
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,337,1572,9,1,9
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,155,4470,33,1,34
ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,198,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:C10,213,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B5708,97,1,0,1,0
Accidents.xlsx,Data:AF17,423,2,0,2,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,1207,504,2,504,3
Test Runs.xlsx,Test 6:L8,277,4000,36,1,38
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,823,876,11,615,11
DMD_PRJ.xlsx,IND:D4,788,6338,71,6335,75
Sample1.xlsx,Tabelle1:A773,2735,1,0,1,0
tasa-de-homicidios.xlsx,Vinculacion_Geografico:G32,124,718,5,1,5
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C1097,2035,10011,83,4,88
common.xlsx,Traditional:A1548,104,2,0,2,0
OECD.xlsx,AUT:R211,177,16,0,1,0
SolvedStarterBook.xlsx,Bonus:C12,220,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T1978,2353,4,0,1,0
FN-2016-2019(1).xlsx,2019:AB17,85,1185,8,1185,8
MLX90640 example data.xlsx,To calculation:B4,51,1668,15,1668,17
منزل النور.xlsx,المشاريع:A3,169,355,2,1,2
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:J1,934,13968,146,13968,160
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:B88,542,6,1,1,1
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M205,71,2,0,1,0
accum-temperature.xlsx,Лист1:B2885,2434,2,0,2,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:A758,58,2,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,未审报表分析:D32,558,92,1,92,1
