fileName,Max Dep Ref,GraphBuildTime,RedisGraphLookupSize,RedisGraphLookupTime,RedisGraphPostProcessedLookupSize,RedisGraphPostProcessedLookupTime
2015하수도통계(최종).xlsx,11_1하수처리수재이용:B96,60543,150,29394,150,29395
DINAS PENDIDIKAN GABUNG BOS OK BANGET.xlsx,PERHITUNGAN DISDIK 2019 (2):G8,42158,60000,60000,60000,60000
Master-Calculations-Global-WASH-CBA_GLOBAL_PUBLIC_VERSION5.xlsx,CALCULATIONS:S82,223597,60000,60000,60000,60000
Results Database 5.xlsx,04-05 (2):G231,415299,60000,60000,60000,60000
Scoliosis.FPO.xlsx,Eg-Financials:U3,102500,60000,60000,60000,60000
monte.xlsx,Sheet1:B4,4641,60000,60000,60000,60000
teeeest.xlsx,18:B5,51019,60000,60000,60000,60000
BBG_Security_Application_User_List_v5_34.xlsx,Position:AZ5,45085,2276,368,2024,377
BBG_Security_Application_User_List_v5_46.xlsx,Position:AZ5,65778,3138,501,3138,513
20180913_Data_Import_Tool_Logic..xlsx,20180912_Data_Import_Tool_v1:FL2,20941,40740,813,100,813
