fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,1500,2,9,1,10
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,1015,20,1,5,1
NIRISS_SIAF.xlsx,Calc:AE3,389,30,1,18,1
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,440,1,0,1,0
W22704-181.xlsx,Sheet1:E2,686,4,0,4,0
tri-approx.xlsx,data:F4,2894,3,0,2,0
Kickstarter Campaigns.xlsx,Bonus 1:B3,363,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q10,149,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,2278,77,4,50,4
OBC8_4_16.xlsx,Data:I1233,7776,5,0,5,0
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,827,147,7,98,7
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,444,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D5,347,4,0,1,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,258,2,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,62,1,1,1,1
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,444,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,252,1,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,407,1,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,548,1,1,1,1
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,811,6,1,1,1
Excel-Challenge Homework.xlsx,Sheet1:E539,210,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,510,6479,64,6478,82
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1201,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,62,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,391,3,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,160,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,288,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,758,20,0,5,0
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,208,1,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,16415,10,0,2,0
Du Lieu.xlsx,data_202007:E96800,955,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,3001,3,0,2,0
mapperComparisonData2.xlsx,Sheet3:K262,900,26,0,26,0
Starter_YK.xlsx,backers:A956891,207,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,1915,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,210,3,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,88,1,0,1,0
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,885,6,0,1,0
kc1prdb01.xlsx,DISKBUSY:BA400,143,4,0,3,0
hybrids_05.xlsx,vw:C45,991,1,0,1,0
10214-0_57pcs.xlsx,Calcu:T7,249,45,0,42,1
clientOutput_001.xlsx,clientOutput:B2,140,5,0,2,0
غمراسن.xlsx,المشاريع:A3,230,1,0,1,0
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,254,1,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,253,1,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,834,6,0,1,0
وذرف.xlsx,المشاريع:B3,631,1,0,1,0
euler第686题.xlsx,Sheet1:D9,479,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,300,94,1,88,2
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,773,30,0,30,0
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,813,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,121,8,1,8,1
Xing -5.25.xlsx,Sheet2:G128,157,5,0,4,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,1964,3,1,2,1
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,140,1,0,1,0
homework 1 kickstarter chart.xlsx,data:E300,374,2,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,149,1,0,1,0
nm_Francis vs harmonic.xlsx,nm T1.8 flota:AO4,459,16,0,14,0
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,291,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,812,1,0,1,0
completed Analysis.xlsx,Descriptive staistics:C5,119,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:E13,803,20,0,5,0
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A19762,2354,4,0,1,0
SchedulamaticAugA.xlsx,Classes:E101,112,6,0,2,0
MUS_CPM_results.xlsx,MUS_CPM_results:E10108,968,4,0,1,0
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,278,3,0,2,0
Weather (10h training).xlsx,Weather2:I1310,355,6,0,4,0
MAP-原物料資料庫.xlsx,繩線類:N18,333,3,0,3,0
excel-challenge.xlsx,Original:E3567,299,2,1,1,1
CONTRATACIONES_PUBLICADAS_POR_PROVEEDOR_2020_07_26.xlsx,Datos:A2032,2940,1,1,1,1
200729_EngineStudsTighteningTorqueR10.xlsx,Monocoque:D88,178,87,2,81,2
cw_updated_rgn_id.xlsx,cw_updated_rgn_id:C253,445,3,1,1,1
Day2.xlsx,P1:X2,518,33,1,6,1
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B66,762,6,1,1,1
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,24-3 raw data:C2,1108,11,0,7,0
DB1.xlsx,Sheet4:F466,426,40,1,38,1
FlightData.xlsx,testflight1:E5268,226,2,0,1,0
UNIT1EXCEL_ELM.xlsx,Bonus Sheet:E12,207,5,0,3,0
steam_trend_data.xlsx,steam:Q25356,1328,2,0,1,0
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :O2,777,220,2,220,3
Datos.xlsx,Movimientos:F596,119,2,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:D27245,1169,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V9,763,1,0,1,0
MR_2016Q4_Exam.xlsx,Sheet1:E2510,504,2,0,2,1
30-4.xlsx,Load-Displacement:D25214,327,11,1,4,1
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,StatusByCategory:A3,333,2,0,2,0
KickstarterStats.xlsx,Outcomes Based on Goal:D2,418,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,BKE:F42,211,10,0,10,0
Surf_overlay_diag_E.xlsx,ZIKV:E1046472,537,1,0,1,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:M22325,547,2,0,2,0
crime_v3.xlsx,crime_v3:C81,3080,1,0,1,0
StarterBook_jjree.xlsx,BONUS1:E7,302,3,0,1,0
PV Angebots Tool.xlsx,PV-Angebot:A2,1374,5,0,5,0
VIL-2015-12.xlsx,DEC 8:Q34,116,9,0,9,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S12749,7404,8,0,8,0
Jan_2011.xlsx,Formatted Data:D2700,415,62,1,45,1
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J1876,152,2,0,2,0
Solution_36.xlsx,Лист2:G50849,8329,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y685,223,5,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,3881,6,0,6,0
AP-Spring2018 (For Students).xlsx,Final Project:J1,1749,3,1,3,1
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:Z82,400,25,0,25,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:G345,408,6,0,6,0
resultsTesting10multi.xlsx,resultsTesting2504:H855,87,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,231,1,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,601,71,0,71,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Report:C6,111,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,1392,11,0,11,0
CL4.xlsx,Sheet30:B35,300,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,400,5,0,5,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,310,3,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:J963,1618,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CBJ5,231,1,0,1,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,未审报表分析:D31,1020,22,0,22,0
shoe_data.xlsx,Al Bundy:C14970,470,2,0,2,0
出行属性.xlsx,Sheet1:M66068,1796,1,0,1,0
KickStarter Data Analysis.xlsx,Data:N2930,257,2,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,Overall US Pres Results & PVIs:JJ12,645,6,0,3,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:B44,776,6,0,1,0
allTweets.xlsx,all:A17295,650,2,0,1,0
Hypotheekrente.xlsx,Lineair:C114,466,14,0,14,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,277,94,1,88,2
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,183,2,0,1,0
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,151,1,0,1,0
ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,174,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:C10,249,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B5708,74,1,0,1,0
Accidents.xlsx,Data:AF17,265,2,0,2,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,4459,2,0,1,0
Test Runs.xlsx,Test 6:L8,368,1,0,1,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,2625,842,16,615,16
DMD_PRJ.xlsx,IND:D4,3245,813,14,813,14
Sample1.xlsx,Tabelle1:A773,1568,1,0,1,0
tasa-de-homicidios.xlsx,Vinculacion_Geografico:G32,151,1,0,1,1
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C1097,2241,9,0,4,0
common.xlsx,Traditional:A1548,181,2,0,2,0
OECD.xlsx,AUT:R211,307,2,0,1,0
SolvedStarterBook.xlsx,Bonus:C12,252,4,0,1,1
ventasCocaCola_matrícula_solucion.xlsx,Datos:T1978,2275,4,0,1,0
FN-2016-2019(1).xlsx,2019:AB17,280,174,2,174,2
MLX90640 example data.xlsx,To calculation:B4,129,64,1,64,1
منزل النور.xlsx,المشاريع:A3,584,1,0,1,0
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:J1,1140,3,0,2,0
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:B88,764,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M205,103,2,0,1,0
accum-temperature.xlsx,Лист1:B2885,2927,2,0,2,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:A758,211,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,未审报表分析:D32,1093,22,0,22,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B9,251,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U3441,174,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CBJ5,237,1,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:C10931,696,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,11064,263,4,13,4
edevlet-mezarlik-verileri.xlsx,Toplam:B73,319,1,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1636,11,0,11,0
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C2,1237,30,0,29,0
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,InProcess Conf:BA682143,935,4,0,4,0
工作簿1-20181122170147433.xlsx,不良明细:CBJ5,240,1,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:E13,721,20,1,5,1
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:C82,6143,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,2434,1,0,1,0
2017 PoB by Race All.xlsx,PoB KC Tracts:Y342,700,6,0,6,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T33,122,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:P4,97,9,0,2,0
freeze_example.xlsx,Sheet:B1043,337,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,316,1,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):H15,171,2,0,2,0
countytractfiles.xlsx,Sheet1:A6009,76,2,0,1,0
mercury1650pt.xlsx,siptm:BB918,243,1,1,1,1
Ex4-5 Team Rating v2 (4).xlsx,Model:O2914,1399,9,0,3,0
Solution_lesson_2.xlsx,All:G144984,318,1,1,1,1
MensTennisRPI.xlsx,RPI:H3,4495,1,0,1,0
webStore.xlsx,WebStore_dupes_marked:M2,3342,2,1,2,1
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,274,1,0,1,0
fin-v8.xlsx,Sheet:F12022,7857,2,0,1,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:J16021,2638,2,0,1,0
CPIvs行业.xlsx,backtest:B617,7858,23,0,23,0
Coding Task.xlsx,Coding:AM9393,519,2,0,1,0
ALMACEN      AGOSTO         2016.xlsx,PERNIL:D10,765,2,0,1,0
greige provision.xlsx,Final:Y5,502,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:F73,393,11,1,10,1
main.xlsx,1m:B4816,1714,6,0,5,0
30_70_2ptGuided.xlsx,Sheet1:I255,9054,2,0,2,0
Tio Cash Master 1600 1 seventh 0a in the neighborhood of.xlsx,1602 fam07 0.142859 vertical:C6,9306,8,0,8,0
MasterTestData.xlsx,Algo Format:M5,384,21,0,21,0
四象限行业选择.xlsx,日度数据:C12,695,19,0,4,1
工作簿1-20181122140451052.xlsx,不良明细:CBJ5,243,1,0,1,0
Scen_SE_IND_DemandProj.xlsx,Convergence programme:K303,223,251,2,251,3
HS_videos_Smit_Cross_augmented_v06.xlsx,datapura:K1603,1139,230,3,229,3
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:B88,708,6,0,1,0
DPS Calculator - Ninja.xlsx,Weaponskill:B543,417,3,0,1,0
BBG_Security_Application_User_List_v5_1.xlsx,Position:BF5,25116,1,0,1,0
Pro-Forma_Report_08012015_07_49_26.xlsx,Venues:B75,301,420,5,420,5
Quizzes_17.2_17.3.xlsx,Quiz 17.3:D1,1331,20,0,17,0
valores_produtos.xlsx,dados:E2,152,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):G18,215,7,0,7,0
