fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
dutch_quigley_000_1_1.pst.202.xls,A:DR249,969,33,0,32,0
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,970,105,2,59,2
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,1036,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,703,18,0,18,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,418,37,0,21,0
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,876,111,0,110,0
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,1308,0,0,0,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,285,3,0,3,1
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,477,10,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,341,2,0,2,0
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,111,32,0,30,0
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,127,9,0,5,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,94,5,0,5,1
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,429,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,127,4,0,4,0
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,3206,0,0,0,0
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,822,3,0,3,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:K727,156,3,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,868,729,5,729,5
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:D92,3250,460,5,460,6
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,837,729,5,729,6
benjamin_rogers_001_1_1.pst.2.xls,Wilton:T114,415,35,0,35,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:D30,261,6,0,2,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J28,1163,259,3,259,3
benjamin_rogers_000_1_1.pst.190.xls,CALC:FA17,2582,0,0,0,0
tracy_geaccone_000_1_1.pst.308.xls,Annual Fuel Calc Alt:I30,2471,64,0,64,0
benjamin_rogers_000_1_1.pst.142.xls,Debt:B54,480,326,3,324,4
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,415,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,143,3,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-EGL:P29,162,3,0,3,0
phillip_m_love_000_1_1.pst.672.xls,m_chg:A7,1594,6,0,1,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:D108,3353,460,5,460,6
andy_zipper_000_1_1.pst.122.xls,DD-EGL:P29,945,3,0,3,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C38,419,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,Duke 500621:H12,197,32,0,30,0
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AQ17,1289,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:V62,253,1,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Debt:B54,462,326,3,324,3
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:D30,251,6,0,2,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:Q355,699,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J11,1062,251,2,251,2
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:D108,3479,460,5,460,6
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,290,3,0,3,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I2376,181,4,0,4,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,2425,28,0,27,0
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CQ24,4001,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-EGL:P29,127,3,0,3,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AB14,3387,0,0,0,0
andy_zipper_000_1_1.pst.115.xls,DD-EGL:P29,876,3,0,3,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1975,1,0,1,0
lynn_blair_000_1_1.pst.12.xls,Duke 500621:H12,213,32,1,30,1
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:AH22,4662,22,0,20,0
mike_grigsby_000_1_1_1.pst.106.xls,Curves:A1,1942,87,0,87,0
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:D140,3373,460,4,460,5
don_baughman_000_1_1.pst.191.xls,Sheet1:C38,439,37,1,21,1
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C38,435,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D3,62,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:K23,134,3,0,1,0
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,703,40,1,38,1
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:K7,279,14,0,5,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,409,6,0,5,0
andy_zipper_000_1_1.pst.71.xls,DD-EGL:P29,140,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.212.xls,HR:H24,395,13,1,11,1
