fileName,Longest Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
juan_hernandez_000_1_1.pst.10.xls,Sheet1:C38,37,1,21,1
robin_rodrigue_000_1_1.pst.159.xls,Detail:E3372,1,0,1,0
vkaminski_002_1_1_1.pst.276.xls,Gas Curves:BV2,0,0,0,0
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AB14,0,0,0,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,105,1,59,1
dutch_quigley_000_1_1.pst.202.xls,A:DR249,33,1,32,1
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,105,2,59,2
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,18,0,18,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,37,1,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,111,1,110,1
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,0,0,0,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,3,0,3,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,9,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,2,0,2,0
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,32,0,30,0
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,9,0,5,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,5,0,5,0
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,37,1,21,1
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,4,0,4,0
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,0,0,0,0
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,3,0,3,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:K727,3,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,729,5,729,5
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:D92,460,5,460,5
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,729,5,729,5
benjamin_rogers_001_1_1.pst.2.xls,Wilton:T114,35,0,35,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:D30,6,0,2,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J28,259,2,259,2
benjamin_rogers_000_1_1.pst.190.xls,CALC:FA17,0,0,0,0
tracy_geaccone_000_1_1.pst.308.xls,Annual Fuel Calc Alt:I30,64,0,64,0
benjamin_rogers_000_1_1.pst.142.xls,Debt:B54,326,4,324,4
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,3,0,2,1
andy_zipper_000_1_1.pst.76.xls,DD-EGL:P29,3,0,3,0
phillip_m_love_000_1_1.pst.672.xls,m_chg:A7,6,0,1,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:D108,460,5,460,6
andy_zipper_000_1_1.pst.122.xls,DD-EGL:P29,3,1,3,1
don_baughman_000_1_1.pst.142.xls,Sheet1:C38,37,0,21,0
darrell_schoolcraft_000_1_1_1.pst.219.xls,Duke 500621:H12,32,1,30,1
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AQ17,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:V62,1,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Debt:B54,326,4,324,4
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:D30,6,1,2,1
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:Q355,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J11,251,2,251,2
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:D108,460,5,460,5
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,3,0,3,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I2376,4,0,4,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,28,0,27,0
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CQ24,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-EGL:P29,3,0,3,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AB14,0,0,0,0
andy_zipper_000_1_1.pst.115.xls,DD-EGL:P29,3,0,3,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1,0,1,0
lynn_blair_000_1_1.pst.12.xls,Duke 500621:H12,32,0,30,0
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:AH22,22,0,20,0
mike_grigsby_000_1_1_1.pst.106.xls,Curves:A1,75,0,75,0
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:D140,460,5,460,5
don_baughman_000_1_1.pst.191.xls,Sheet1:C38,37,0,21,0
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C38,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D3,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:K23,3,0,1,0
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,40,0,38,0
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:K7,14,0,5,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,6,0,5,0
andy_zipper_000_1_1.pst.71.xls,DD-EGL:P29,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.212.xls,HR:H24,13,0,11,0
dan_hyvl_000_1_1.pst.112.xls,Purchasers:A119,27,0,27,0
andy_zipper_000_1_1.pst.54.xls,DD-EGL:P29,3,0,3,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,729,4,729,5
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:F2288,1,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Oct :Q16,11,0,11,0
benjamin_rogers_000_1_1.pst.12.xls,Peak:B57,2,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Curves:A1,75,1,75,1
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,55,1,55,1
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3505,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,4,0,4,0
tracy_geaccone_000_1_1.pst.307.xls,Annual Fuel Calc Alt:I30,64,0,64,0
jeff_dasovich_000_1_1_1.pst.91.xls,Template:N9,6,1,5,1
benjamin_rogers_001_1_1.pst.5.xls,Wilton:T114,35,0,35,0
gstorey_000_1_1.pst.116.xls,InputOutputSheet:S14,2,0,2,0
scott_neal_000_1_1.pst.156.xls,Correlations:BC3,0,0,0,0
don_baughman_000_1_1.pst.137.xls,Sheet1:C38,37,0,21,0
stacey_white_000_1_1.pst.228.xls,ARG FIRM Port Calc Extract:M39,7,0,7,0
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D344,209,2,209,2
jane_tholt_000_1_1.pst.123.xls,Study 3:A9,15,0,9,0
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C320,1,0,1,0
john_griffith_000_1_1.pst.196.xls,New Index Sale:N9,16,0,16,0
daren_farmer_000_1_1.pst.1427.xls,Jan 01 trial:AB14,0,0,0,0
louise_kitchen_000_1_1_1_1.pst.245.xls,Cost Cancel Details:D140,460,5,460,6
barry_tycholiz_000_1_1.pst.77.xls,Sheet1:H19,19,0,16,0
paul_y'barbo_000_1_1.pst.61.xls,76%:D2,1789,10,1789,11
matthew_lenhart_001_1_1.pst.147.xls,OP.Power Desk Daily Price:B7,3,0,3,0
stacey_white_000_1_1.pst.51.xls,NG Summary by Day:E307,7,0,7,0
chris_germany_000_1_2.pst.1047.xls,Sheet2:K401,63,0,32,0
errol_mclaughlin_jr_000_1_1.pst.134.xls,LVPP MTM:R18,5,0,5,0
benjamin_rogers_001_1_1.pst.246.xls,ENA Debt:B11,126,1,108,1
rick_buy_000_1_2_1.pst.28.xls,Replacement Costs:E66,4,0,4,0
vladi_pimenov_000_1_1.pst.2.xls,Raw Data:BL4,8,0,4,0
lynn_blair_000_1_1.pst.181.xls,Aug 13:E2,18,0,15,0
david_delainey_000_1_2.pst.135.xls,commercial income:K12,20,0,20,0
andy_zipper_000_1_1.pst.20.xls,Deal Detail:K727,3,0,1,0
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D184,221,2,221,2
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,28,0,27,0
andy_zipper_000_1_1.pst.63.xls,DD-EGL:P29,3,0,3,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,3,0,3,0
benjamin_rogers_000_1_1.pst.204.xls,Wilton:X135,34,0,34,0
kevin_presto_000_1_1.pst.473.xls,Raw Data:I6702,3,0,1,0
benjamin_rogers_000_1_1.pst.140.xls,Curve Paste:BU217,0,0,0,0
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,28,0,27,0
andy_zipper_000_1_1.pst.166.xls,Deal Detail:K23,3,0,1,0
vkaminski_000_1_1_1.pst.216.xls,sp500:D8,52,0,45,0
chris_germany_000_1_2.pst.1075.xls,Sheet2:K99,127,1,126,1
chris_germany_000_1_2.pst.1032.xls,11-99:AI11,6,0,6,0
vkaminski_000_1_1_1.pst.24.xls,Analysis:L8,5,0,4,0
daren_farmer_000_1_1.pst.313.xls,thursday:N13,3,0,3,0
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:DU7,2,0,2,0
craig_dean_000_1_1.pst.28.xls,May3:C49,13,1,3,1
larry_may_000_1_1.pst.309.xls,DATA:B3,1,0,1,0
andy_zipper_000_1_1.pst.27.xls,Deal Detail:K375,3,0,1,0
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,45,0,44,0
drew_fossum_000_1_1.pst.224.xls,Jul:A9,6,0,6,0
chris_germany_000_1_2.pst.162.xls,Special Pricing:A327,7,0,6,0
vkaminski_000_1_1_1.pst.171.xls,TIN:B3505,7,0,5,0
juan_hernandez_000_1_1.pst.165.xls,Sheet1:C38,37,0,21,0
andy_zipper_000_1_1.pst.138.xls,DD-EGL:P29,3,0,3,0
mike_grigsby_000_1_1_1.pst.250.xls,Months:F4,4,0,4,0
matthew_lenhart_000_1_1.pst.20.xls,Curves:A1,75,0,75,0
errol_mclaughlin_jr_000_1_1.pst.23.xls,MAY-2001:J3,6,0,5,0
andy_zipper_000_1_1.pst.83.xls,DD-EGL:P29,3,0,3,0
tracy_geaccone_000_1_1.pst.428.xls,EREC-EREC4:E92,71,1,71,1
jay_reitmeyer_000_1_1.pst.197.xls,Sheet1:AJ62,1,1,1,1
benjamin_rogers_000_1_1.pst.104.xls,ZONE A OFFPEAK:C7,9,1,9,1
andy_zipper_000_1_1.pst.79.xls,DD-EGL:P29,3,0,3,0
don_baughman_000_1_1.pst.192.xls,Sheet1:C38,37,0,21,0
phillip_allen_000_1_1.pst.302.xls,Sheet2:G3,1,0,1,0
jane_tholt_000_1_1.pst.186.xls,July 17 Supply Price:A3,1,0,1,0
don_baughman_000_1_1.pst.145.xls,Sheet1:C38,37,0,21,0
don_baughman_000_1_1.pst.102.xls,Sheet1:C38,37,0,21,1
richard_ring_000_1_1.pst.143.xls,Hourly EESI Price Calcs:G21,6,0,6,0
daren_farmer_000_1_1.pst.384.xls,Jan 01 trial:AB14,0,0,0,0
don_baughman_000_1_1.pst.188.xls,Sheet1:C38,37,0,21,0
andrew_lewis_000_1_1.pst.12.xls,Swap:A7,16,0,16,0
paul_y'barbo_000_1_1.pst.26.xls,76%:D2,1812,10,1812,11
benjamin_rogers_000_1_1.pst.154.xls,Debt:B54,326,3,324,3
vkaminski_000_1_1_1.pst.289.xls,READDATA:AD6,0,0,0,0
keith_holst_000_1_1.pst.144.xls,FizIndexStart:C45,3,0,3,0
mary_fischer_000_1_1.pst.120.xls,SL1Trends:L32,17,0,17,0
louise_kitchen_001_1_1_1.pst.364.xls,Mkt Risk:J17,21,0,21,0
benjamin_rogers_001_1_1.pst.27.xls,Wilton:Y135,28,1,28,1
mark_haedicke_000_1_2.pst.31.xls,Off-Balance Sheet:S3,1478,26,1476,27
john_griffith_000_1_1.pst.1000.xls,Spread Option:AO10,17,0,16,0
matthew_lenhart_000_1_1.pst.65.xls,DA-ties:J59,2,0,1,0
errol_mclaughlin_jr_000_1_1.pst.71.xls,CC 103816 - Detail Expenses:M48,7,0,7,0
kim_ward_000_1_2.pst.428.xls,July 17 Supply Price:A3,1,0,1,0
