fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AW14,266,13,0,13,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,412,10866,115,10866,125
dutch_quigley_000_1_1.pst.202.xls,Position:Z2,327,2555,24,2532,26
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,413,10866,115,10866,126
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):F500,634,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B759,545,19,0,19,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C20,110,37,0,21,0
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:Y86,260,270,2,270,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AW14,199,13,0,13,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,91,61,0,61,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,98,716,13,716,13
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,151,225,3,216,3
michelle_lokay_000_1_2_1.pst.24.xls,PNM 500617:H12,46,236,1,232,1
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,92,3948,31,3948,34
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,99,4808,1329,3231,1333
don_baughman_000_1_1.pst.152.xls,Sheet1:C20,108,37,1,21,1
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,160,306,1,306,1
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,928,4545,49,4541,52
andy_zipper_000_1_1.pst.92.xls,TRANSACTIONSUMMARYREPORT -1:N4780,890,9,1,4,1
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,87,825,7,1,7
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,262,729,6,729,6
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,271,667,5,667,6
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,261,729,5,729,6
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,95,46,0,45,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,281,1077,5,1077,6
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,110,259,3,259,3
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,619,2973,39,2970,42
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,393,0,0,0,0
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,76,543,5,543,6
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,110,37,1,21,1
eric_saibi_000_1_1.pst.218.xls,Graph:D4,95,49,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,73,8,0,8,0
