fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
dutch_quigley_000_1_1.pst.202.xls,A:DR249,337,493,4,492,4
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,431,10866,202,10866,207
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,797,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,379,18,0,18,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,110,37,1,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,208,223,2,222,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,135,0,0,0,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,69,61,0,61,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,75,716,105,716,106
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,115,2,0,2,1
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,61,235,3,233,3
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,82,69,1,16,1
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,73,4808,8996,3231,8998
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,108,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,113,306,2,306,2
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,913,0,0,0,0
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,687,3,1,3,1
andy_zipper_000_1_1.pst.170.xls,Deal Detail:K727,89,3,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,251,729,6,729,6
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:D92,204,461,5,461,6
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,270,729,11,729,11
benjamin_rogers_001_1_1.pst.2.xls,Wilton:T114,94,35,1,35,1
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:D30,218,6,0,2,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J28,82,259,3,259,4
benjamin_rogers_000_1_1.pst.190.xls,CALC:FA17,690,0,1,0,1
