fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,937,3,25,1,26
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,236,2978,109,2978,119
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1945,4385,493,4385,500
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,156,306,3,306,3
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,225,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,130,131,3,131,3
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,207,306,2,306,3
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,194,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,99,23,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,130,294,5,1,6
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,502,33,1,19,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,135,613,6,2,6
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1029,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,365,3150,78,3150,83
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,94,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,384,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,50,199,2,199,2
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,230,461,7,461,7
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,135,126,2,108,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,291,6479,74,6478,81
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,257,729,8,729,9
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,109,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N470,90,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,202,239,2,1,2
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,274,669,7,1,7
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,118,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,117,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1763,4385,392,4385,396
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,149,236,4,236,4
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,218,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,76,366,6,364,7
kevin_presto_000_1_1.pst.261.xls,Results:K40,107,3,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,77,36,0,1,0
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,79,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,452,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,184,1999,29,1999,31
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,66,310,4,310,4
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,110,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,1748,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,478,17,0,17,0
