fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AW14,175,13,0,13,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,446,10866,225,10866,230
dutch_quigley_000_1_1.pst.202.xls,Position:Z2,427,2555,33,2532,34
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,482,10866,197,10866,203
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):F500,593,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B759,396,19,0,19,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C20,104,37,0,21,0
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:Y86,308,270,3,270,3
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AW14,154,13,0,13,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,84,61,0,61,1
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,83,716,108,716,109
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,138,225,2,216,2
michelle_lokay_000_1_2_1.pst.24.xls,PNM 500617:H12,57,236,2,232,2
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,90,3948,66,3948,68
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,106,4808,10006,3231,10008
don_baughman_000_1_1.pst.152.xls,Sheet1:C20,110,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,120,306,2,306,2
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,1036,4545,109,4541,112
andy_zipper_000_1_1.pst.92.xls,TRANSACTIONSUMMARYREPORT -1:N4780,929,9,0,4,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,126,825,8,1,8
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,226,729,8,729,8
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,236,667,10,667,11
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,273,729,8,729,8
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,84,46,1,45,1
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,223,1077,16,1077,17
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,94,259,3,259,3
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,693,2973,79,2970,80
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,371,0,0,0,0
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,68,543,8,543,8
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,110,37,1,21,1
eric_saibi_000_1_1.pst.218.xls,Graph:D4,116,49,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,106,8,0,8,0
phillip_m_love_000_1_1.pst.672.xls,m1:A5,485,523,5,523,5
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,204,667,10,667,10
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,743,9,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,119,37,0,21,0
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,100,349,4,349,4
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,151,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:AF154,122,2,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,67,543,8,543,9
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,250,1077,14,1077,14
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,874,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,86,251,3,251,3
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,198,667,11,667,11
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,83,61,1,61,1
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,92,8,0,8,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,1795,4385,361,4385,363
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,178,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,110,8,0,8,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,417,13,0,13,0
andy_zipper_000_1_1.pst.115.xls,TRANSACTIONSUMMARYREPORT -1:N4780,785,9,0,4,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1188,20,0,1,0
lynn_blair_000_1_1.pst.12.xls,USGT 500616:G12,150,349,5,349,6
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:D22,1537,5959,148,5958,151
mike_grigsby_000_1_1_1.pst.106.xls,Power Curve:J5,1008,31738,1116,31738,1139
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:C58,219,667,10,667,10
don_baughman_000_1_1.pst.191.xls,Sheet1:C20,116,37,1,21,1
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C20,118,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D2,66,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:A9,87,693,8,1,8
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,113,43,0,41,0
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:L14,225,14,0,7,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,367,372,4,371,5
andy_zipper_000_1_1.pst.71.xls,DD-ENA:F500,91,8,0,8,0
louise_kitchen_000_1_1_1_1.pst.212.xls,West Power Origination:M21,81,54,1,54,1
dan_hyvl_000_1_1.pst.112.xls,Seller's's PP Calc:A12,85,481,5,481,5
andy_zipper_000_1_1.pst.54.xls,DD-ENA:F500,93,6,0,6,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,284,729,7,729,8
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:C2327,153,3,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Mar:I16,120,142,2,142,2
benjamin_rogers_000_1_1.pst.12.xls,Raw Data:A27129,337,3,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Power Curve:J5,1132,34481,1639,34481,1665
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,136,139,2,139,2
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3288,1087,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,288,306,4,306,4
tracy_geaccone_000_1_1.pst.307.xls,WESTCompare0201:AP7,593,0,0,0,0
jeff_dasovich_000_1_1_1.pst.91.xls,Sept 22:K80,95,9,0,8,0
benjamin_rogers_001_1_1.pst.5.xls,Wheatland:Z66,247,46,1,45,1
gstorey_000_1_1.pst.116.xls,Empress vs Chippewa:H3,3148,2639,84,2626,86
scott_neal_000_1_1.pst.156.xls,LongTerm1:D20,283,6526,131,6523,136
don_baughman_000_1_1.pst.137.xls,Sheet1:C20,152,37,0,21,0
stacey_white_000_1_1.pst.228.xls,ARG FIRM Port Calc Extract:N47,452,366,6,11,6
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D45,163,875,19,865,20
jane_tholt_000_1_1.pst.123.xls,Summary:B185,102,2333,260,2333,261
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C1263,90,52,0,1,0
john_griffith_000_1_1.pst.196.xls,NP1265.2:F3,1012,8312,292,8302,300
daren_farmer_000_1_1.pst.1427.xls,Jan 01 trial:AW14,219,13,1,13,1
louise_kitchen_000_1_1_1_1.pst.245.xls,Cost Cancel Details:C58,315,667,13,667,14
barry_tycholiz_000_1_1.pst.77.xls,Sheet1:E5,675,162,2,162,2
paul_y'barbo_000_1_1.pst.61.xls,76%:D2,186,2017,22,2017,23
matthew_lenhart_001_1_1.pst.147.xls,OP.Power Desk Daily Price:B7,115,61,1,61,1
chris_germany_000_1_2.pst.1047.xls,Sheet2:K602,461,127,1,126,1
errol_mclaughlin_jr_000_1_1.pst.134.xls,LVPP MTM:B9,99,60,1,60,1
benjamin_rogers_001_1_1.pst.246.xls,Stratus Report:A15,173,1113,20,1113,21
rick_buy_000_1_2_1.pst.28.xls,Replacement Costs:D58,142,292,9,292,9
vladi_pimenov_000_1_1.pst.2.xls,Raw Data:CU4,1134,17832,474,17831,489
lynn_blair_000_1_1.pst.181.xls,Aug 13:E2,106,37,0,15,0
david_delainey_000_1_2.pst.135.xls,balance sheet:I4,135,225,3,225,3
andy_zipper_000_1_1.pst.20.xls,Deal Detail:A9,150,772,11,1,11
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D61,244,1098,21,1087,22
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,2184,4385,513,4385,516
andy_zipper_000_1_1.pst.63.xls,DD-ENA:F500,106,8,0,8,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,91,61,1,61,1
benjamin_rogers_000_1_1.pst.204.xls,Wheatland:Z66,104,46,1,45,1
kevin_presto_000_1_1.pst.473.xls,Q3 2001:C250,423,245,2,1,2
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,1287,4545,99,4541,102
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,1894,4385,441,4385,443
andy_zipper_000_1_1.pst.166.xls,Deal Detail:B9,138,597,26,1,26
vkaminski_000_1_1_1.pst.216.xls,w5000:B361,193,895,70,895,70
chris_germany_000_1_2.pst.1075.xls,Sheet2:K231,742,127,2,126,2
chris_germany_000_1_2.pst.1032.xls,11-99:U11,90,31,1,2,1
vkaminski_000_1_1_1.pst.24.xls,Analysis:T5,316,249,5,9,5
daren_farmer_000_1_1.pst.313.xls,thursday:N556,138,3,1,3,1
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:H32,239,225,5,216,5
craig_dean_000_1_1.pst.28.xls,May3:C2,90,48,0,2,0
larry_may_000_1_1.pst.309.xls,DATA:B3,177,60,1,1,1
andy_zipper_000_1_1.pst.27.xls,Deal Detail:A9,180,952,25,1,25
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,766,14018,292,14017,301
drew_fossum_000_1_1.pst.224.xls,Jul:A9,112,199,3,199,3
chris_germany_000_1_2.pst.162.xls,gatherco:J3,131,1132,12,1132,13
vkaminski_000_1_1_1.pst.171.xls,TIN:B3288,372,7,0,5,0
juan_hernandez_000_1_1.pst.165.xls,Sheet1:C20,157,37,0,21,0
