fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
dutch_quigley_000_1_1.pst.202.xls,A:DR249,424,493,5,492,5
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,421,10866,267,10866,279
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,618,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,515,18,1,18,1
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,104,37,1,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,241,223,2,222,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,166,0,0,0,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,84,61,1,61,1
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,90,716,77,716,78
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,145,2,0,2,0
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,43,235,3,233,3
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,115,69,0,16,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,92,4808,11898,3231,11902
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,109,37,0,21,1
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,155,306,2,306,2
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,878,0,0,0,0
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,743,3,0,3,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:K727,76,3,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,251,729,9,729,9
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:D92,231,461,7,461,7
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,286,729,7,729,8
benjamin_rogers_001_1_1.pst.2.xls,Wilton:T114,85,35,1,35,1
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:D30,212,6,0,2,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J28,98,259,4,259,4
benjamin_rogers_000_1_1.pst.190.xls,CALC:FA17,607,0,0,0,0
tracy_geaccone_000_1_1.pst.308.xls,Annual Fuel Calc Alt:I30,382,69,1,69,1
benjamin_rogers_000_1_1.pst.142.xls,Debt:B54,69,366,5,364,5
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,99,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,94,49,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-EGL:P29,71,3,0,3,0
phillip_m_love_000_1_1.pst.672.xls,m_chg:A7,555,32,0,1,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:D108,242,461,8,461,8
andy_zipper_000_1_1.pst.122.xls,DD-EGL:P29,844,3,0,3,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C38,144,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,Duke 500621:H12,76,235,3,233,3
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AQ17,169,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:V62,126,46,0,1,1
benjamin_rogers_000_1_1.pst.157.xls,Debt:B54,73,366,6,364,6
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:D30,235,6,0,2,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:Q355,715,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J11,107,251,4,251,4
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:D108,234,461,6,461,7
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,119,61,1,61,1
scott_neal_000_1_1.pst.533.xls,Sheet1:I2376,83,4,1,4,1
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,1552,4385,390,4385,394
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CQ24,207,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-EGL:P29,64,3,0,3,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AB14,457,0,0,0,0
andy_zipper_000_1_1.pst.115.xls,DD-EGL:P29,837,3,0,3,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1302,20,0,1,0
lynn_blair_000_1_1.pst.12.xls,Duke 500621:H12,122,235,3,233,3
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:AH22,1575,22,0,20,0
mike_grigsby_000_1_1_1.pst.106.xls,Curves:A1,1011,899,276,899,276
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:D140,217,461,8,461,8
don_baughman_000_1_1.pst.191.xls,Sheet1:C38,101,37,0,21,0
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C38,104,37,1,21,1
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D3,69,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:K23,65,3,0,1,0
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,126,43,1,41,1
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:K7,208,14,0,5,1
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,128,372,4,371,4
andy_zipper_000_1_1.pst.71.xls,DD-EGL:P29,63,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.212.xls,HR:H24,71,36,1,35,1
dan_hyvl_000_1_1.pst.112.xls,Purchasers:A119,81,59,1,59,1
andy_zipper_000_1_1.pst.54.xls,DD-EGL:P29,65,3,0,3,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,230,729,8,729,9
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:F2288,136,1,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Oct :Q16,100,127,2,127,3
benjamin_rogers_000_1_1.pst.12.xls,Peak:B57,213,2,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Curves:A1,1314,899,308,899,309
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,113,139,1,139,1
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3505,401,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,144,306,2,306,2
tracy_geaccone_000_1_1.pst.307.xls,Annual Fuel Calc Alt:I30,350,69,1,69,1
jeff_dasovich_000_1_1_1.pst.91.xls,Template:N9,79,6,0,5,0
