fileName,Max Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B759,19,0,19,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C20,37,0,21,0
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:Y86,270,2,270,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AW14,13,1,13,1
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,3,0,3,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,9,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,225,1,216,1
michelle_lokay_000_1_2_1.pst.24.xls,PNM 500617:H12,33,0,30,0
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,19,1,19,1
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,5,0,5,0
don_baughman_000_1_1.pst.152.xls,Sheet1:C20,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,4,0,4,0
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,3317,44,3313,48
andy_zipper_000_1_1.pst.92.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,1,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,729,5,729,5
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,335,3,335,3
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,729,4,729,4
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,45,0,45,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,5,0,3,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,259,2,259,2
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,2365,26,2362,28
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,0,0,0,0
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,345,4,345,4
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,3,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,4,0,4,0
phillip_m_love_000_1_1.pst.672.xls,m1:A5,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,335,4,335,4
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,37,0,21,0
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,41,1,41,1
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:AF154,2,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,345,3,345,3
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,5,0,3,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,251,2,251,2
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,335,4,335,4
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,3,0,3,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,8,0,8,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,28,0,27,0
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,4,0,4,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,13,0,13,0
andy_zipper_000_1_1.pst.115.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1,0,1,0
lynn_blair_000_1_1.pst.12.xls,USGT 500616:G12,41,1,41,1
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:D22,90,0,89,0
mike_grigsby_000_1_1_1.pst.106.xls,Power Curve:J5,109,1,66,1
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:C58,335,4,335,4
don_baughman_000_1_1.pst.191.xls,Sheet1:C20,37,0,21,0
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C20,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D2,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:A9,1,0,1,0
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,40,0,38,0
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:L14,14,0,7,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,6,0,5,0
andy_zipper_000_1_1.pst.71.xls,DD-ENA:F500,4,0,4,0
louise_kitchen_000_1_1_1_1.pst.212.xls,West Power Origination:M21,23,0,22,0
dan_hyvl_000_1_1.pst.112.xls,Seller's's PP Calc:A12,5,0,3,0
andy_zipper_000_1_1.pst.54.xls,DD-ENA:F500,4,0,4,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,729,4,729,4
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:C2327,3,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Mar:I16,18,0,14,0
benjamin_rogers_000_1_1.pst.12.xls,Raw Data:A27129,3,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Power Curve:J5,112,1,66,1
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,55,0,55,0
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3288,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,4,0,4,0
tracy_geaccone_000_1_1.pst.307.xls,WESTCompare0201:AP7,0,0,0,0
jeff_dasovich_000_1_1_1.pst.91.xls,Sept 22:K80,9,0,8,0
benjamin_rogers_001_1_1.pst.5.xls,Wheatland:Z66,45,0,45,0
gstorey_000_1_1.pst.116.xls,Empress vs Chippewa:H3,20,1,18,1
scott_neal_000_1_1.pst.156.xls,LongTerm1:D20,91,1,90,1
don_baughman_000_1_1.pst.137.xls,Sheet1:C20,37,0,21,0
stacey_white_000_1_1.pst.228.xls,ARG FIRM Port Calc Extract:N47,10,0,10,0
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D45,745,7,735,7
jane_tholt_000_1_1.pst.123.xls,Summary:B185,56,0,56,0
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C1263,1,0,1,0
john_griffith_000_1_1.pst.196.xls,NP1265.2:F3,45,0,44,0
daren_farmer_000_1_1.pst.1427.xls,Jan 01 trial:AW14,13,0,13,0
louise_kitchen_000_1_1_1_1.pst.245.xls,Cost Cancel Details:C58,335,3,335,3
barry_tycholiz_000_1_1.pst.77.xls,Sheet1:E5,15,0,14,0
paul_y'barbo_000_1_1.pst.61.xls,76%:D2,1789,8,1789,9
