fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
Outer_BaseLine.xlsx,9355,13711,18062,13711,18062,136
Day_11_Sampling-distribution-example_Sample-size-effect_Confidence-Intervals.xlsx,12524,12857,18439,12857,18439,412
Sampling-distribution-example_Sample-size-effect_Confidence-Intervals.xlsx,22407,23038,35011,23038,35011,517
Simulate-Price-Stocks.xlsx,44999,85000,44999,5016,5007,1344
YODA_TimeSeries_TEMPLATE_HeaderOnly.xlsx,10499,10000,19990,10000,19990,170
控制图.xlsx,14989,39956,29958,9994,9988,575
1.ejemplo a replicar.xlsx,155796,276656,311733,275411,309952,3554
Обработка положение лежа.xlsx,55601,72899,331142,24785,25110,19560
В15УВ_02_20160115 full.xlsx,9860,24650,29577,24650,29577,232
expoente_de_hurst.xlsx,116337,162867,195397,130353,121045,15281
四象限行业选择.xlsx,30884,61704,52343,51820,42681,2727
aim120_amraap.xlsx,108536,111036,240169,90118,166165,12743
EURUSD.xlsx,92253,113232,117411,92272,88063,9095
REMISIONES-- NOxxxxxxxxxxxxx    --- 2 0 1 5.xlsx,52875,138569,135587,121713,121580,1618
Ind Cafe_Dimensiones - tabla de hechos.xlsx,16626,16639,16626,16639,16626,119
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,76083,127366,106471,41266,36359,2789
REMISIONES----OBRADOR---JUNIO    2016.xlsx,62103,98415,85062,36539,32077,2347
EarlyRetirementNow SWR Toolbox v2.0.xlsx,78410,120508,174647,85288,129506,3985
REMISIONES-- E N E R O         --- 2 0 1 6.xlsx,56311,142383,138947,126083,125796,1426
CPIvs行业.xlsx,210534,252451,489081,205548,398286,30610
Budget_Plan_Project_20180803-form.xlsx,32100,80153,64102,40161,40108,985
В06УН_01_20160105 full.xlsx,7692,19230,23073,19230,23073,182
MRKT-TRKR_2020-05-19T UPTREND31 to  Sundeep.xlsx,64809,99361,100515,70668,66399,2713
REMISIONES-- FEBRERO          --- 2 0 1 6.xlsx,50937,136456,133103,121338,121169,1439
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,12704,15884,22228,12714,15884,2237
Signals.xlsx,37953,85746,111803,65764,85793,3302
211018 BTC 2012년부터 변동성 돌파 확인.xlsx,61173,113282,139670,78560,122308,1244
Bairros.xlsx,11076,16755,16618,16755,16618,125
R1CD.xlsx,169964,432190,269482,10214,10161,4204
Totalen per rekeningcode Jaarrekening 2015 provincie Groningen.xlsx,24893,34442,30859,11949,11941,2817
ВАТ06ОВ_02_20151120 full.xlsx,5424,13560,16269,13560,16269,121
Totalen per rekeningcode begroting 2016 provincie Groningen.xlsx,16346,23020,22166,11661,11649,2473
Combined Packet Configurator (1.6.22).xlsx,12222,22564,27755,18966,24812,258
Demand Forecasting.xlsx,52536,73277,88615,16740,30921,4534
matriz actualizada.xlsx,152531,179043,522890,142734,490154,54466
StromKurve_erstellen.xlsx,12372,14848,22265,7430,12373,167
hw_6_2.xlsx,12300,14765,24598,14765,24598,196
ALMACEN      AGOSTO         2016.xlsx,22872,57134,57240,51466,51518,478
JUNIO RAUL  2016.xlsx,25680,63130,63203,55803,55790,540
HeroDataTable.xlsx,282096,340234,387276,262595,245932,9806
three_factor_storage.xlsx,4772,4775,9543,4775,9543,71
Champgnat-Boaventura_1998.xlsx,6872,16037,11454,2297,2294,203
zad5.xlsx,8602,17198,15045,6462,6455,642
Model Input Document Satisloh V1.1 LDS_Software - CPQ.xlsx,5122,10279,10501,7887,7878,148
HESTA_Quote_Tool_Draft.xlsx,10438,10460,31288,10460,31287,272
dailybriefingANALYSIS.xlsx,46985,65118,92082,28032,37725,4052
01-1. ExcelSimulation.xlsx,7687,7773,13916,5383,9485,613
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,65508,169274,118778,8323,7734,2095
TPV4.9.xlsx,42149,50646,135761,42411,109686,1836
PWM.xlsx,50001,54011,123995,28031,52031,9007
FirstLink - Copy 2.xlsx,44070,54145,94099,40103,80067,2738
Ventas 2.0 exceldiario.xlsx,58047,86053,126066,16150,16176,10011
Known Distributions (2).xlsx,26518,33435,26718,6632,6614,654
Known Distributions.xlsx,27160,34481,27560,6888,6863,692
Real-Statistics-Examples-Correlation-Reliability.xlsx,47604,70003,92274,61590,85813,4300
telefony.xlsx,46011,60020,50012,4044,6034,433
Real-Statistics-Examples-Non-Parametric-2.xlsx,15782,24307,19792,6118,7627,333
Carreras Universitarias.xlsx,18263,37613,47070,11096,17753,2029
schoolsSportsReference_difference.xlsx,43296,86614,127920,86614,127920,1188
Повороты в плоскости(фильтр Маджвика).xlsx,30548,36975,131946,15228,46690,6299
螺纹_LLT模型-带止损-实盘记录优化版.xlsx,54999,74006,171110,71192,144273,7336
股票_LLT模型-带止损-实盘记录优化版.xlsx,31612,42497,105495,39678,86270,3648
Flash Report.xlsx,125947,172074,232175,119466,174868,4424
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,34479,65532,82699,41378,62015,4201
Chicago Time Series.xlsx,32801,41927,43739,27358,21887,2851
1 LRD - Influent Characterization - 2015-2017 (version 1).xlsb.xlsx,126840,195346,216792,14804,17772,6212
Data-Formulas (Autosaved).xlsx,25438,50898,47198,47273,39942,774
taxas-juros-emprestimos.xlsx,10391,12378,25254,12380,23471,234
Boksmodel.xlsx,31258,53759,158039,30782,120115,5767
fable2.xlsx,10671,24330,52034,24329,52032,413
Data Skenario 3.xlsx,27245,44276,45969,35767,39161,799
REDB Mapping.xlsx,23540,42892,53254,19239,26152,1195
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,14941,16709,33038,12056,26121,443
dt upload SIMP MEI 2018.xlsx,10633,33660,36346,2470,2411,1156
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,13680,27360,25767,24216,24195,200
pollutionData204273.xlsx,21959,40992,21959,1469,1466,130
3_Orçamentos.xlsx,6883,7093,9650,4805,7287,401
CovidVaccinationProjection3-3-2021.xlsx,57092,95344,122926,94723,102946,4048
TMC5160_Calculations.xlsx,6310,5451,11768,5182,9441,216
Measurements_Temperature_DutyCycle.xlsx,11330,16996,11328,2838,2833,63
RETURN_stream_i_jAUGUST.xlsx,9093,16768,11656,4006,4566,73
HS_videos_Smit_Cross_augmented_v01.xlsx,15539,44461,84617,23834,61455,1813
CARDEX ENERO 2020.xlsx,21713,60503,60378,58191,58048,410
CARDEX NOVIEMBRE 2019.xlsx,18952,53366,53252,51621,51497,358
Solution_DataToClean - Kaggle.xlsx,31663,52796,31663,5290,5271,596
bot.xlsx,14376,18298,24831,9164,10467,434
HS_videos_Smit_Cross_augmented_v06.xlsx,15495,42807,59460,22478,36406,1119
passive_skill_info.xlsx,5502,12021,11932,3060,2957,338
Financial_Analyst.xlsx,29262,49467,50915,40525,43196,607
Hanging Pendulum Tests - Complied.xlsx,6994,7486,13493,6520,13010,97
arrow_task_final.xlsx,29136,44628,36258,14100,20994,573
策略分析_20160710_800K.xlsx,26563,34914,46564,23265,33285,1134
策略分析_20160526.xlsx,25315,33563,44069,20770,30792,1035
