fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
andy_zipper_000_1_1.pst.74.xls,4467,10930,9929,10930,9929,62
andy_zipper_000_1_1.pst.75.xls,4467,10930,9929,10930,9929,63
andy_zipper_000_1_1.pst.76.xls,4467,10930,10426,10930,10426,66
andy_zipper_000_1_1.pst.77.xls,4467,10930,10426,10930,10426,66
andy_zipper_000_1_1.pst.78.xls,3485,9948,8953,9948,8953,58
andy_zipper_000_1_1.pst.79.xls,3485,9948,8953,9948,8953,57
andy_zipper_000_1_1.pst.80.xls,3490,9960,8964,9960,8964,57
andy_zipper_000_1_1.pst.81.xls,3473,9908,8914,9908,8914,57
john_hodge_000_1_1.pst.198.xls,24515,43008,33335,43008,33335,252
scott_neal_000_1_1.pst.533.xls,6644,13085,10685,13085,10685,78
vkaminski_000_1_1_1.pst.255.xls,24112,48224,45210,48224,45210,383
vkaminski_000_1_1_1.pst.256.xls,13212,26424,23488,26424,23488,192
vkaminski_000_1_1_1.pst.257.xls,9288,18576,16512,18576,16512,123
andy_zipper_000_1_1.pst.106.xls,53457,99885,88905,99885,88905,799
andy_zipper_000_1_1.pst.115.xls,53457,99885,88905,99885,88905,747
andy_zipper_000_1_1.pst.120.xls,53457,99885,88905,99885,88905,791
andy_zipper_000_1_1.pst.122.xls,53457,99885,88905,99885,88905,738
andy_zipper_000_1_1.pst.138.xls,53457,99885,88905,99885,88905,740
andy_zipper_000_1_1.pst.142.xls,53457,99885,88905,99885,88905,749
andy_zipper_000_1_1.pst.144.xls,53457,99886,88905,99886,88905,812
andy_zipper_000_1_1.pst.146.xls,53459,99890,88905,99890,88905,826
andy_zipper_000_1_1.pst.16.xls,53459,99889,88905,99889,88905,764
andy_zipper_000_1_1.pst.21.xls,53459,99889,88905,99889,88905,786
andy_zipper_000_1_1.pst.28.xls,53459,99889,88905,99889,88905,734
andy_zipper_000_1_1.pst.83.xls,29437,58197,52277,58197,52277,532
andy_zipper_000_1_1.pst.84.xls,53460,99894,88912,99894,88912,803
andy_zipper_000_1_1.pst.85.xls,53460,99894,88912,99894,88912,748
andy_zipper_000_1_1.pst.87.xls,53460,99894,88912,99894,88912,754
andy_zipper_000_1_1.pst.88.xls,53457,99885,88905,99885,88905,743
andy_zipper_000_1_1.pst.92.xls,53457,99885,88905,99885,88905,746
andy_zipper_000_1_1.pst.97.xls,53457,99885,88905,99885,88905,748
jeff_dasovich_000_1_1_1.pst.91.xls,5781,16445,13213,16445,13213,76
jim_schwieger_000_1_1.pst.111.xls,29085,102416,106850,102416,106850,959
stacey_white_000_1_1.pst.139.xls,4531,13320,10328,13320,10328,73
eric_saibi_000_1_1.pst.464.xls,13268,25770,26359,25770,26359,200
eric_saibi_000_1_1.pst.598.xls,13268,25770,26359,25770,26359,195
john_forney_000_1_1.pst.58.xls,13268,25770,26359,25770,26359,195
john_forney_000_1_1.pst.59.xls,13268,25770,26359,25770,26359,238
craig_dean_000_1_1.pst.35.xls,10231,35621,40750,35621,40750,342
chris_germany_000_1_2.pst.1112.xls,25416,28233,27262,28233,27262,206
juan_hernandez_000_1_1.pst.169.xls,29044,36575,57861,36575,57861,478
don_baughman_000_1_1.pst.174.xls,74373,201657,132957,201657,132957,1141
mary_fischer_000_1_1.pst.120.xls,17022,33543,17929,33543,17929,125
vkaminski_000_1_1_1.pst.127.xls,19090,24635,32716,24635,32716,253
vkaminski_001_1_2_1.pst.39.xls,3999,8977,6901,8977,6901,44
john_griffith_000_1_1.pst.516.xls,14569,23321,20408,23321,20408,153
darron_c_giron_000_1_1_1.pst.165.xls,10597,30191,20396,30191,20396,174
