fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
joe_quenet_000_1_1.pst.18.xls,10887,21772,10888,9,5,91,0,0,2,10884,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
joe_stepenovitch_000_1_1.pst.15.xls,4567,9143,4586,45,24,39,0,0,9,4567,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,1,2,0,0,11,11
joe_stepenovitch_000_1_1.pst.25.xls,10887,21772,10888,9,5,82,0,0,2,10884,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
john_arnold_000_1_2.pst.135.xls,7539,15079,9052,51,26,82,0,0,23,9042,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0
john_zufferli_000_1_1.pst.54.xls,7437,14893,7466,54,29,71,0,0,12,7440,0,0,0,0,1,2,2,4,3,6,0,0,2,4,1,2,0,0,0,0,8,8
keith_holst_000_1_1.pst.144.xls,17671,50325,34943,39,24,306,0,0,24,34943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kevin_presto_000_1_1.pst.261.xls,10887,21772,10888,9,5,80,0,0,2,10884,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
mike_carson_000_1_1.pst.42.xls,10887,21772,10888,9,5,89,0,0,2,10884,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
richard_shapiro_001_1_2.pst.124.xls,10041,20082,10041,12,6,76,0,0,6,10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.137.xls,31596,76728,72214,23,19,974,0,0,16,72210,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
robin_rodrigue_000_1_1.pst.148.xls,27268,68164,63620,20,17,847,0,0,14,63616,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
robin_rodrigue_000_1_1.pst.151.xls,22765,54636,54636,12,12,678,0,0,12,54636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.266.xls,19757,48059,45120,18,16,560,0,0,16,45120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.270.xls,31947,77572,72976,24,20,947,0,0,18,72974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
robin_rodrigue_001_1_1.pst.3.xls,27268,68164,63620,20,17,805,0,0,14,63616,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
