fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
pin-BARNES.out-none-Thu-Jul-11-10-53-18-2013--.xlsx,28123,56241,56239,12,7,501,2,28117,1,28116,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EventLog_2.xlsx,159794,159800,159794,12,6,1356,6,159794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_Libreview_forCoding.xlsx,185382,264833,370762,13,13,4501,2,52966,10,264830,0,0,0,0,1,26483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191001_선물데이터_1틱.xlsx,329897,406051,888073,436,429,14801,75,228255,219,431415,0,0,0,0,97,228365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38
Kraken_BTCEUR_1h.xlsx,50544,50544,50543,4,2,460,1,25271,1,25272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ式part2【資料】第2回_エクセル演習.xlsx,78725,105684,78727,24,16,586,4,51766,2,26950,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
【第8回当日配布料】問題演習_第2回_確率.xlsx,78725,105684,78727,24,16,599,4,51766,2,26950,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
IEX.hourlydata_final.xlsx,23183,23184,23183,2,1,257,1,23183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBViajesCompleta.xlsx,46061,69095,113076,207,137,917,1,22338,127,68386,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
measles.xlsx,18250,18251,18250,2,1,87,1,18250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021_data.xlsx,74640,149280,149276,21,12,1350,4,54860,8,94416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DescriptionVI & HS Code 2018_rev06 - Copy.xlsx,17002,17001,17000,2,1,182,1,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wide.xlsx,16383,16384,16383,2,1,79,1,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Question 5.xlsx,50128,50512,200036,66,92,4131,4,16506,35,34267,0,0,0,0,52,149262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Community Crime 2016.xlsx,16851,33702,16851,53,27,89,0,0,23,16847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Excel模拟神经网络进行4000次迭代.xlsx,75934,79941,243784,47,61,4196,9,35964,51,203823,0,0,0,0,1,3997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day1.xlsx,173566,332766,347130,518,344,7728,15,15210,328,331919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
松_分级加载.xlsx,34538,34548,34538,23,12,424,4,34526,2,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Reboiler_Raw Data_With Timestamps - Modificado.xlsx,71758,197982,156170,204,103,2296,44,29416,29,126724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
