fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
andy_zipper_000_1_1.pst.74.xls,4467,10930,9929,10930,9929,68
andy_zipper_000_1_1.pst.75.xls,4467,10930,9929,10930,9929,66
andy_zipper_000_1_1.pst.76.xls,4467,10930,10426,10930,10426,70
andy_zipper_000_1_1.pst.77.xls,4467,10930,10426,10930,10426,69
andy_zipper_000_1_1.pst.78.xls,3485,9948,8953,9948,8953,60
andy_zipper_000_1_1.pst.79.xls,3485,9948,8953,9948,8953,74
andy_zipper_000_1_1.pst.80.xls,3490,9960,8964,9960,8964,60
andy_zipper_000_1_1.pst.81.xls,3473,9908,8914,9908,8914,59
john_hodge_000_1_1.pst.198.xls,24515,43008,33335,43008,33335,275
scott_neal_000_1_1.pst.533.xls,6644,13085,10685,13085,10685,84
vkaminski_000_1_1_1.pst.255.xls,24112,48224,45210,48224,45210,443
vkaminski_000_1_1_1.pst.256.xls,13212,26424,23488,26424,23488,197
vkaminski_000_1_1_1.pst.257.xls,9288,18576,16512,18576,16512,129
andy_zipper_000_1_1.pst.106.xls,53457,99885,88905,99885,88905,815
andy_zipper_000_1_1.pst.115.xls,53457,99885,88905,99885,88905,859
andy_zipper_000_1_1.pst.120.xls,53457,99885,88905,99885,88905,887
andy_zipper_000_1_1.pst.122.xls,53457,99885,88905,99885,88905,869
andy_zipper_000_1_1.pst.138.xls,53457,99885,88905,99885,88905,813
andy_zipper_000_1_1.pst.142.xls,53457,99885,88905,99885,88905,837
andy_zipper_000_1_1.pst.144.xls,53457,99886,88905,99886,88905,814
andy_zipper_000_1_1.pst.146.xls,53459,99890,88905,99890,88905,903
andy_zipper_000_1_1.pst.16.xls,53459,99889,88905,99889,88905,871
andy_zipper_000_1_1.pst.21.xls,53459,99889,88905,99889,88905,879
andy_zipper_000_1_1.pst.28.xls,53459,99889,88905,99889,88905,805
andy_zipper_000_1_1.pst.83.xls,29437,58197,52277,58197,52277,645
andy_zipper_000_1_1.pst.84.xls,53460,99894,88912,99894,88912,802
andy_zipper_000_1_1.pst.85.xls,53460,99894,88912,99894,88912,889
andy_zipper_000_1_1.pst.87.xls,53460,99894,88912,99894,88912,846
andy_zipper_000_1_1.pst.88.xls,53457,99885,88905,99885,88905,875
andy_zipper_000_1_1.pst.92.xls,53457,99885,88905,99885,88905,830
andy_zipper_000_1_1.pst.97.xls,53457,99885,88905,99885,88905,811
jeff_dasovich_000_1_1_1.pst.91.xls,5781,16445,13213,16445,13213,77
jim_schwieger_000_1_1.pst.111.xls,29085,102416,106850,102416,106850,984
stacey_white_000_1_1.pst.139.xls,4531,13320,10328,13320,10328,78
eric_saibi_000_1_1.pst.464.xls,13268,25770,26359,25770,26359,210
eric_saibi_000_1_1.pst.598.xls,13268,25770,26359,25770,26359,212
john_forney_000_1_1.pst.58.xls,13268,25770,26359,25770,26359,211
john_forney_000_1_1.pst.59.xls,13268,25770,26359,25770,26359,210
craig_dean_000_1_1.pst.35.xls,10231,35621,40750,35621,40750,343
chris_germany_000_1_2.pst.1112.xls,25416,28233,27262,28233,27262,218
juan_hernandez_000_1_1.pst.169.xls,29044,36575,57861,36575,57861,515
don_baughman_000_1_1.pst.174.xls,74373,201657,132957,201657,132957,1278
mary_fischer_000_1_1.pst.120.xls,17022,33543,17929,33543,17929,120
vkaminski_000_1_1_1.pst.127.xls,19090,24635,32716,24635,32716,248
vkaminski_001_1_2_1.pst.39.xls,3999,8977,6901,8977,6901,46
john_griffith_000_1_1.pst.516.xls,14569,23321,20408,23321,20408,165
darron_c_giron_000_1_1_1.pst.165.xls,10597,30191,20396,30191,20396,156
gstorey_000_1_1.pst.15.xls,2934,5413,6422,5413,6422,39
chris_germany_000_1_2.pst.1032.xls,8573,11326,12443,11326,12443,75
don_baughman_000_1_1.pst.205.xls,7598,12416,18983,12416,18983,142
bill_williams_iii_000_1_1.pst.56.xls,6251,10212,15610,10212,15610,113
don_baughman_000_1_1.pst.100.xls,5839,9567,14610,9567,14610,106
don_baughman_000_1_1.pst.101.xls,5839,9567,14610,9567,14610,106
don_baughman_000_1_1.pst.102.xls,5839,9567,14610,9567,14610,106
don_baughman_000_1_1.pst.119.xls,5004,8184,12496,8184,12496,149
don_baughman_000_1_1.pst.127.xls,5004,8152,12416,8152,12416,88
don_baughman_000_1_1.pst.128.xls,4171,6822,10415,6822,10415,73
don_baughman_000_1_1.pst.129.xls,5004,8184,12496,8184,12496,90
don_baughman_000_1_1.pst.131.xls,5004,8184,12496,8184,12496,91
don_baughman_000_1_1.pst.132.xls,5004,8184,12496,8184,12496,93
don_baughman_000_1_1.pst.133.xls,5004,8184,12496,8184,12496,93
don_baughman_000_1_1.pst.134.xls,5837,9546,14577,9546,14577,110
don_baughman_000_1_1.pst.135.xls,5837,9546,14577,9546,14577,112
don_baughman_000_1_1.pst.137.xls,5837,9546,14577,9546,14577,112
don_baughman_000_1_1.pst.138.xls,5837,9546,14577,9546,14577,109
don_baughman_000_1_1.pst.140.xls,5837,9546,14577,9546,14577,110
don_baughman_000_1_1.pst.141.xls,5837,9546,14577,9546,14577,108
don_baughman_000_1_1.pst.142.xls,5837,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.143.xls,5837,9546,14577,9546,14577,105
don_baughman_000_1_1.pst.144.xls,5837,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.145.xls,5837,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.147.xls,5853,9578,14608,9578,14608,107
don_baughman_000_1_1.pst.148.xls,5835,9547,14575,9547,14575,105
don_baughman_000_1_1.pst.149.xls,5835,9547,14575,9547,14575,105
don_baughman_000_1_1.pst.150.xls,5838,9549,14579,9549,14579,105
don_baughman_000_1_1.pst.151.xls,5837,9549,14578,9549,14578,106
don_baughman_000_1_1.pst.152.xls,5839,9567,14610,9567,14610,105
don_baughman_000_1_1.pst.167.xls,5837,9546,14577,9546,14577,107
don_baughman_000_1_1.pst.175.xls,5837,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.176.xls,5837,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.177.xls,5837,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.178.xls,5837,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.179.xls,5837,9546,14577,9546,14577,120
don_baughman_000_1_1.pst.180.xls,5837,9546,14577,9546,14577,105
don_baughman_000_1_1.pst.181.xls,5838,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.182.xls,5838,9546,14577,9546,14577,106
don_baughman_000_1_1.pst.183.xls,5838,9546,14577,9546,14577,107
don_baughman_000_1_1.pst.184.xls,5837,9546,14577,9546,14577,105
don_baughman_000_1_1.pst.185.xls,5837,9546,14577,9546,14577,106
