fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
hybrids_05.xlsx,vw:C45,908,1,0,1,0
10214-0_57pcs.xlsx,Calcu:T7,282,45,1,42,1
clientOutput_001.xlsx,clientOutput:B2,133,5,0,2,0
غمراسن.xlsx,المشاريع:A3,239,1,0,1,0
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,348,1,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,268,1,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,841,6,0,1,0
وذرف.xlsx,المشاريع:B3,673,1,0,1,0
euler第686题.xlsx,Sheet1:D9,449,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,307,94,1,88,2
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,691,30,0,30,0
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,841,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,121,8,0,8,0
Xing -5.25.xlsx,Sheet2:G128,118,5,0,4,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,1828,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,143,1,0,1,0
homework 1 kickstarter chart.xlsx,data:E300,327,2,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,256,1,0,1,0
nm_Francis vs harmonic.xlsx,nm T1.8 flota:AO4,565,16,1,14,1
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,145,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,814,1,0,1,0
completed Analysis.xlsx,Descriptive staistics:C5,125,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:E13,828,20,0,5,0
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A19762,2307,4,0,1,0
SchedulamaticAugA.xlsx,Classes:E101,84,6,0,2,0
MUS_CPM_results.xlsx,MUS_CPM_results:E10108,929,4,0,1,0
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,409,3,0,2,0
Weather (10h training).xlsx,Weather2:I1310,261,6,1,4,1
MAP-原物料資料庫.xlsx,繩線類:N18,175,3,0,3,0
excel-challenge.xlsx,Original:E3567,218,2,0,1,0
CONTRATACIONES_PUBLICADAS_POR_PROVEEDOR_2020_07_26.xlsx,Datos:A2032,3114,1,0,1,0
200729_EngineStudsTighteningTorqueR10.xlsx,Monocoque:D88,186,87,2,81,2
cw_updated_rgn_id.xlsx,cw_updated_rgn_id:C253,608,3,0,1,0
Day2.xlsx,P1:X2,412,33,1,6,1
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B66,778,6,0,1,0
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,24-3 raw data:C2,1062,11,0,7,0
DB1.xlsx,Sheet4:F466,404,40,0,38,0
FlightData.xlsx,testflight1:E5268,224,2,0,1,0
