fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,1152,1,8,1,9
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,1266,17,2,6,2
NIRISS_SIAF.xlsx,DDC:C20,404,6,1,2,1
工作簿1-20181122170204822.xlsx,不良明细:CEA5,445,1,0,1,0
W22704-181.xlsx,Sheet1:D2,856,4,1,4,1
tri-approx.xlsx,data:F4,3023,3,0,2,0
Kickstarter Campaigns.xlsx,Bonus 1:D5,361,4,1,1,1
VIL-2015-03.xlsx,MAR 5:Q20,152,8,1,8,1
model_OLD_13Feb.xlsx,X.b:G59,2452,155,7,152,7
OBC8_4_16.xlsx,Data:J18035,7856,5,0,5,0
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,932,1,1,1,1
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,591,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D4,288,4,0,1,0
MM1-0832H-6588.xlsx,IP3:C150,343,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,67,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,593,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CEA5,367,1,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,264,1,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,569,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,858,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,231,2,1,1,1
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,572,6479,81,6478,99
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1353,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,73,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,469,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,224,4,1,1,1
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,275,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,792,17,1,6,1
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,234,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,17750,6,0,1,0
Du Lieu.xlsx,data_202007:G43868,911,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,3277,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,1057,0,0,0,0
Starter_YK.xlsx,BONUS:D6,232,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,2044,1,0,1,0
Homework - week 1.xlsx,Bonus:D4,246,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,107,1,0,1,0
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,890,6,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,204,1,0,1,0
hybrids_05.xlsx,vw:F30,949,1,1,1,1
10214-0_57pcs.xlsx,Calcu:B3,254,41,1,37,1
clientOutput_001.xlsx,clientOutput:C1500,152,2,0,2,0
غمراسن.xlsx,المشاريع:A3,241,1,0,1,0
工作簿1-20181122164849850.xlsx,不良明细:CEA5,266,1,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CEA5,264,1,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,959,6,0,1,0
وذرف.xlsx,المشاريع:B3,668,1,0,1,0
euler第686题.xlsx,Sheet1:D24,446,9,0,2,1
