fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
Datos.xlsx,Movimientos:L449,127,1,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:A26284,1311,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V10,850,1,0,1,0
MR_2016Q4_Exam.xlsx,Sheet1:F1929,548,1,1,1,1
30-4.xlsx,Load-Displacement:D41,433,11,0,4,0
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,Bonus1:D8,377,4,0,1,0
KickstarterStats.xlsx,Outcomes Based on Goal:D12,413,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,nguyen vat lieu kho:K45,240,53,1,53,1
Surf_overlay_diag_E.xlsx,ZIKV:A41,511,5,0,2,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:H11754,488,2,0,2,0
crime_v3.xlsx,crime_v3:C11,3440,1,0,1,0
StarterBook_jjree.xlsx,Original Data:I706,349,1,0,1,0
PV Angebots Tool.xlsx,PV-Data:H7852,1613,3,0,2,0
VIL-2015-12.xlsx,DEC 20:Q11,132,8,0,8,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S82,8142,8,0,8,0
Jan_2011.xlsx,Formatted Data:E1770,616,72,1,56,1
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J457,172,2,0,2,0
Solution_36.xlsx,Лист2:F13338,10101,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y38,194,5,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,4346,6,0,6,0
AP-Spring2018 (For Students).xlsx,HW6-Q1:M1,1970,9,0,9,0
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:AF83,451,24,0,23,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:H6,457,5,0,5,0
resultsTesting10multi.xlsx,resultsTesting2504:P45,101,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,263,1,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A5,586,71,0,71,1
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,124,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,1397,11,0,10,0
CL4.xlsx,Sheet30:B61,362,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,436,4,0,4,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:X287,387,2,1,2,1
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:H5362,1822,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CEA5,261,1,0,1,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,preCF:F54,1223,20,1,15,1
shoe_data.xlsx,Germany:AM28,541,4,0,3,0
出行属性.xlsx,Sheet1:I14097,1987,1,0,1,0
KickStarter Data Analysis.xlsx,Data:I3500,275,1,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,2-Party US Pres Results & PVIs:IC6,692,7,0,7,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:G38,810,6,0,1,0
allTweets.xlsx,all:A2880,752,2,0,1,0
Hypotheekrente.xlsx,Lineair:C2,508,14,0,14,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:C88,312,42,1,33,1
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G2,277,2,0,1,0
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,data-voor-lippo:B6,171,27,0,26,0
ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,137,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:D5,270,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B4747,84,1,0,1,0
Accidents.xlsx,Data:X21117,286,1,0,1,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,4984,2,0,1,0
Test Runs.xlsx,Test 4b:B2,462,2,0,2,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):L8066,2896,841,24,614,25
DMD_PRJ.xlsx,COM:J4,3466,846,17,846,17
Sample1.xlsx,Tabelle1:A40452,1706,1,0,1,0
tasa-de-homicidios.xlsx,Masivos:C6,164,7,0,7,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C7047,2367,9,0,4,0
common.xlsx,Traditional:A1798,190,2,1,2,1
OECD.xlsx,AUT:S212,336,2,0,1,0
SolvedStarterBook.xlsx,Bonus:D11,275,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T56,2213,4,0,1,0
FN-2016-2019(1).xlsx,Monthly:B10,299,1,0,1,0
MLX90640 example data.xlsx,To calculation:B4,140,64,1,64,1
منزل النور.xlsx,المشاريع:A3,674,1,0,1,0
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:F3804,1180,7,0,3,0
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:L67,810,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M436,216,2,0,1,0
accum-temperature.xlsx,Лист1:J16036,2944,1,0,1,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:E852,220,1,1,1,1
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,preCF:F13,1204,22,0,16,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B11,262,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U42,231,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CEA5,302,1,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:D9009,833,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,12239,263,4,13,4
edevlet-mezarlik-verileri.xlsx,Toplam:C452,372,1,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1967,11,0,11,0
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C3,1322,31,0,30,0
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,Fail list:T5,1034,1,0,1,0
工作簿1-20181122170147433.xlsx,不良明细:CEA5,336,1,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:C11,809,17,1,6,1
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:E7,6598,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,2675,1,0,1,0
2017 PoB by Race All.xlsx,PoB KC Tracts:R90,833,5,0,5,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T54,133,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:B38,110,14,1,3,1
freeze_example.xlsx,Sheet:C529,344,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,346,1,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):I187,109,2,0,2,0
countytractfiles.xlsx,Sheet1:A5847,86,2,0,1,0
mercury1650pt.xlsx,siptm:AY6483,266,1,0,1,0
Ex4-5 Team Rating v2 (4).xlsx,Model:T85,1502,10,0,8,0
Solution_lesson_2.xlsx,All:F40,336,2,0,2,0
MensTennisRPI.xlsx,RPI:B285,4956,1,1,1,1
webStore.xlsx,WebStore_copy:AD40,3685,2,0,2,0
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,307,1,0,1,0
fin-v8.xlsx,Sheet:O13944,8738,2,0,2,0
