fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:G345,172,49,134,48,134
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,124,2,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,1278,71,1,71,1
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Report:C6,164,4177,239,1,240
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,5804,13,0,13,0
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,335,5,0,5,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,310,3,1,2,1
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:J963,1429,6,0,4,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,未审报表分析:D31,322,92,1,92,1
shoe_data.xlsx,Al Bundy:C14970,617,14967,232,3,239
出行属性.xlsx,Sheet1:M66068,5305,1,0,1,0
KickStarter Data Analysis.xlsx,Data:N2930,335,2,0,1,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:B44,963,6,0,1,0
Hypotheekrente.xlsx,Lineair:C114,1140,991,19,991,20
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,194,218,4,89,4
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,405,1572,15,1,15
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,173,4470,59,1,60
Project Data.xlsx,Outcome Based on Goal:C10,333,4,0,1,0
Accidents.xlsx,Data:AF17,1000,0,0,0,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,1716,504,5,504,5
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,1315,876,23,615,24
DMD_PRJ.xlsx,IND:D4,1267,6338,203,6335,208
Sample1.xlsx,Tabelle1:A773,5447,1,0,1,0
tasa-de-homicidios.xlsx,Vinculacion_Geografico:G32,334,718,15,1,15
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C1097,3102,10011,284,4,287
common.xlsx,Traditional:A1548,234,2,0,2,0
OECD.xlsx,AUT:R211,360,16,0,1,0
SolvedStarterBook.xlsx,Bonus:C12,349,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T1978,2328,4,0,1,0
MLX90640 example data.xlsx,To calculation:B4,72,1668,35,1668,36
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:J1,900,13968,281,13968,296
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:B88,543,6,0,1,0
accum-temperature.xlsx,Лист1:B2885,2400,2,0,2,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:A758,56,2,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,未审报表分析:D32,693,92,1,92,1
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B9,229,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U3441,237,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CBJ5,160,2,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:C10931,1264,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,4685,69509,1025195,69509,1025307
edevlet-mezarlik-verileri.xlsx,Toplam:B73,281,7,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1626,48920,2271,48920,2324
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C2,1621,118,1,117,2
工作簿1-20181122170147433.xlsx,不良明细:CBJ5,117,2,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:E13,678,6600,137,6600,142
FullRes Capture conversion.xlsx,Peaks:E5,3276,946,19,1,19
2017 PoB by Race All.xlsx,PoB KC Tracts:Y342,805,6,0,6,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T33,106,4,0,3,0
freeze_example.xlsx,Sheet:B1043,848,1,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):H15,74,2,0,2,0
countytractfiles.xlsx,Sheet1:A6009,125,2,0,1,0
Ex4-5 Team Rating v2 (4).xlsx,Model:O2914,842,2466,39,2465,41
Solution_lesson_2.xlsx,All:G144984,293,4001,53,1,55
MensTennisRPI.xlsx,RPI:H3,5308,2613,27,1,28
webStore.xlsx,WebStore_dupes_marked:M2,1198,1699,21,2,22
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,232,227,2,1,2
fin-v8.xlsx,Sheet:F12022,7069,2,0,1,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:J16021,2787,2,0,1,0
Coding Task.xlsx,Coding:AM9393,716,2,0,1,0
greige provision.xlsx,Final:Y5,478,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:F73,122,11,0,10,0
main.xlsx,1m:B4816,931,8,0,7,0
30_70_2ptGuided.xlsx,Sheet1:I255,20875,3,0,2,0
MasterTestData.xlsx,Algo Format:M5,94,326,7,324,7
工作簿1-20181122140451052.xlsx,不良明细:CBJ5,107,2,0,1,0
Scen_SE_IND_DemandProj.xlsx,Convergence programme:K303,240,333,4,333,5
HS_videos_Smit_Cross_augmented_v06.xlsx,datapura:K1603,535,2767,56,2766,58
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:B88,807,6,0,1,0
DPS Calculator - Ninja.xlsx,Weaponskill:B543,347,1536,24,1536,25
BBG_Security_Application_User_List_v5_1.xlsx,Position:BF5,20483,1317,16,1,17
Quizzes_17.2_17.3.xlsx,Quiz 17.3:D1,1141,37358,841,37358,877
Spreadsheet_Challenge_V2.xlsx,pivot (5):G18,440,31,1,31,1
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,915,4062,45,1,45
工作簿1-20181122154759510.xlsx,不良明细:CBJ5,100,2,0,1,0
Raw.xlsx,calcs:BE53,148,0,0,0,0
P_Gh_T_S.xlsx,Sheet1:C1003,80,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:E13,1088,2015,21,3,21
all cases and contacts 2021-07-01.xlsx,summary:C599,1494,36,1,23,1
data_problem.xlsx,PVs:B5,1994,3,0,1,0
MM2-0530H.xlsx,P1dB Pt:R17,126,12,1,2,1
红宝集合.xlsx,最初完整版（音频路径有误）:A6507,587,1,0,1,0
物理作业11.xlsx,Sheet1:IR152,1094,149,2,1,2
