fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B47,677,6,0,1,0
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,24-3 raw data:C2,842,11,0,7,0
DB1.xlsx,Sheet3:D313,404,7,0,5,0
FlightData.xlsx,testflight1:E4145,303,2,0,1,0
UNIT1EXCEL_ELM.xlsx,Bonus Sheet:D5,188,3,0,2,0
steam_trend_data.xlsx,steam:S20551,1091,2,0,2,0
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :AW1,2120,0,0,0,0
Datos.xlsx,Movimientos:L449,166,1,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:A26284,1375,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V10,918,1,0,1,0
MR_2016Q4_Exam.xlsx,Sheet1:F1929,4674,1,0,1,0
30-4.xlsx,Load-Displacement:D41,357,11,0,4,0
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,Bonus1:D8,398,4,0,1,0
KickstarterStats.xlsx,Outcomes Based on Goal:D12,725,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,nguyen vat lieu kho:K45,306,53,0,53,0
Surf_overlay_diag_E.xlsx,ZIKV:A41,591,5,0,2,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:H11754,784,2,1,2,1
crime_v3.xlsx,crime_v3:C11,3241,1,0,1,0
StarterBook_jjree.xlsx,Original Data:I706,382,1,0,1,0
PV Angebots Tool.xlsx,PV-Data:H7852,1459,3,0,2,0
VIL-2015-12.xlsx,DEC 20:Q11,155,8,0,8,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S82,6804,8,0,8,0
Jan_2011.xlsx,Formatted Data:E1770,435,72,1,56,1
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J457,233,2,0,2,0
Solution_36.xlsx,Лист2:F13338,9351,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y38,231,5,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,6080,0,0,0,0
AP-Spring2018 (For Students).xlsx,HW6-Q1:M1,6142,9,0,9,0
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:AF83,720,0,0,0,0
