fileName,Longest Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
Day2.xlsx,P1:C2,7254,126,502,135
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B47,6,0,1,0
03_OWL_322_ohne_LZ.xlsx,Manuelle Zählung 24.02.21:N103,5,0,3,0
NPC1MutationConservationData.xlsx,Shannon Entropy:A1,1277,10,1,11
Scenario_Testing_Eq10_HSI.xlsx,Sim_20100119:B44,2,0,2,0
DB1.xlsx,Sheet3:D313,7,0,5,0
163c176fc934928f78245cd5587d4582.xlsx,CT2:I49,7,0,1,0
steam_trend_data.xlsx,steam:S20551,2,0,2,0
2017下期間接費遂行状況 - (成都)R.xlsx,成都R:U15,22,1,7,1
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :AW1,0,1,0,1
Datos.xlsx,Movimientos:L449,1,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:A26284,1,0,1,0
Template - Planejamento e Controle do Projeto2.xlsx,Sprint1:B5,33,1,3,1
MR_2016Q4_Exam.xlsx,Sheet1:F1929,1,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,nguyen vat lieu kho:K45,53,1,49,1
holloway-term-project.xlsx,Corruption Comparison (Q3):F11,2,0,2,0
HH Test Plan - RIAS.xlsx,Test Summary:H10,7,0,3,0
StarterBook_jjree.xlsx,Original Data:I706,1,0,1,0
Moving Average.xlsx,Daily and Cumulative Confirmed :A42,3163,33,3009,35
VIL-2015-12.xlsx,DEC 20:Q11,12,0,6,0
Stock 28.11.19.xlsx,Final Stock:I24,9,1,5,1
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S82,8,0,2,0
20.04.28 Reporte CES(v1).xlsx,RESUMEN:Y28,8,0,5,0
Jan_2011.xlsx,Formatted Data:E1770,562,14,69,14
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J457,2,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y38,8,0,3,0
CodeSummary_08.30.2019.xlsx,2019:I882,1,0,1,0
AP-Spring2018 (For Students).xlsx,HW6-Q1:M1,309,6,309,6
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:AF83,0,0,0,0
Master Close out list 2017-2019- updated-KD 12-20-17 -- AR 03-01-2018.xlsx,2010 Close out's:P10,4,0,4,0
PromoDec.xlsx,Sheet2:A15,11,0,4,0
resultsTesting10multi.xlsx,resultsTesting2504:P45,2,0,2,0
Hedge Output.xlsx,Transaction Day mapping:A5,71,1,71,1
69 Census 2011 District Achham.xlsx,Ind06P:D315,1,0,1,0
W2L1_IF_Command_Store-Sales.xlsx,Store Sales:C6400,1,0,1,0
合同管理系统.xlsx,销售合同基本信息:F75,2,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,13,0,9,0
VAT Gap Model - Excel.xlsx,potential_value_added:I5,5,0,4,0
CL4.xlsx,Sheet30:B61,7,0,2,0
Справочник ж.д. путей 05.11.2020.xlsx,Ways:K208,4,0,2,0
Daily Inventory 05-15-18.xlsx,Passive Stock_JT:A3,150,0,1,0
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,4,0,4,0
quest_design_JP_myth_01.xlsx,プレイレポート非想定PT:F24,1,0,1,0
2021.02.26 Heterogenous Transmission ChainsV1.xlsx,biter|victim:R321,7,1,5,1
