fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,796,1,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A5,1431,71,1,71,1
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,343,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,4267,11,1,10,1
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,755,4,0,4,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:X287,822,2,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:H5362,2746,6,0,4,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,preCF:F54,2604,23,0,16,0
shoe_data.xlsx,Germany:AM28,498,0,0,0,0
出行属性.xlsx,Sheet1:I14097,2143,1,0,1,0
KickStarter Data Analysis.xlsx,Data:I3500,248,1,0,1,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:G38,964,6,0,1,0
Hypotheekrente.xlsx,Lineair:C2,626,14,0,14,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:C88,785,42,25,33,25
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G2,386,2,0,1,0
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,data-voor-lippo:B6,327,27,1,26,1
Project Data.xlsx,Outcome Based on Goal:D5,303,4,0,1,0
Accidents.xlsx,Data:X21117,1120,1,0,1,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,16766,2,0,1,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):L8066,5484,848,54,614,54
DMD_PRJ.xlsx,COM:J4,7302,876,41,876,42
Sample1.xlsx,Tabelle1:A40452,2584,1,0,1,0
tasa-de-homicidios.xlsx,Masivos:C6,392,7,0,7,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C7047,3606,9,0,4,0
common.xlsx,Traditional:A1798,390,2,0,2,0
OECD.xlsx,AUT:S212,888,2,0,1,0
SolvedStarterBook.xlsx,Bonus:D11,484,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T56,2029,4,0,1,0
MLX90640 example data.xlsx,To calculation:B4,154,64,1,64,1
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:F3804,1186,7,1,3,1
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:L67,893,6,0,1,0
accum-temperature.xlsx,Лист1:J16036,2926,1,0,1,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:E852,257,1,0,1,0
