fileName,Max Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
201704_DATA_Dashboard_DT_ES_w14.xlsx,Data:CJ1490,0,0,0,0
Day2.xlsx,P1:X2,7254,189,502,192
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B66,6,0,1,0
03_OWL_322_ohne_LZ.xlsx,Manuelle Zählung 24.02.21:L21,5,0,5,0
NPC1MutationConservationData.xlsx,Shannon Entropy:A1,1277,9,1,9
Scenario_Testing_Eq10_HSI.xlsx,Sim_20100119:B36,2,0,2,0
DB1.xlsx,Sheet4:F466,40,1,4,1
163c176fc934928f78245cd5587d4582.xlsx,CT2:I121,7,0,1,0
steam_trend_data.xlsx,steam:Q25356,2,0,1,0
2017下期間接費遂行状況 - (成都)R.xlsx,成都R:T15,22,0,10,0
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :O2,220,2,220,2
Datos.xlsx,Movimientos:F596,2,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:D27245,1,0,1,0
Template - Planejamento e Controle do Projeto2.xlsx,#Planejamento-APF#:B4,61,1,59,1
MR_2016Q4_Exam.xlsx,Sheet1:E2510,2,0,2,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,BKE:F42,1249,16,420,18
holloway-term-project.xlsx,Corruption Comparison (Q3):F12,2,0,2,0
HH Test Plan - RIAS.xlsx,Test Summary:H10,7,0,3,0
StarterBook_jjree.xlsx,BONUS1:E7,3,0,1,0
Moving Average.xlsx,Daily and Cumulative Confirmed :A582821,3163,134,3009,136
VIL-2015-12.xlsx,DEC 8:Q34,9,0,4,0
Stock 28.11.19.xlsx,Final Stock:E65,9,0,6,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S12749,8,0,2,0
20.04.28 Reporte CES(v1).xlsx,RESUMEN:L36,21,1,15,1
Jan_2011.xlsx,Formatted Data:D2700,3183,47,47,48
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J1876,2,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y685,8,0,3,0
CodeSummary_08.30.2019.xlsx,2019:F97,1,0,1,0
AP-Spring2018 (For Students).xlsx,Final Project:J1,315,6,315,6
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:Z82,25,0,25,0
Master Close out list 2017-2019- updated-KD 12-20-17 -- AR 03-01-2018.xlsx,2011 Summary Performance:I35,5,0,4,0
PromoDec.xlsx,Sheet2:A15,11,0,4,0
resultsTesting10multi.xlsx,resultsTesting2504:H855,2,0,2,0
Hedge Output.xlsx,Transaction Day mapping:A3,71,1,71,1
69 Census 2011 District Achham.xlsx,Ind06P:E243,1,0,1,0
W2L1_IF_Command_Store-Sales.xlsx,Store Sales:C7361,1,0,1,0
合同管理系统.xlsx,销售合同基本信息:F91,2,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,13,0,10,0
VAT Gap Model - Excel.xlsx,potential_value_added:BJ4,5,1,5,1
CL4.xlsx,Sheet30:B35,7,0,2,0
Справочник ж.д. путей 05.11.2020.xlsx,Ways:K387,5,0,3,0
Daily Inventory 05-15-18.xlsx,Passive Stock_JT:Q78599,450,6,150,6
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,5,0,5,0
quest_design_JP_myth_01.xlsx,プレイレポート非想定PT:F40,1,0,1,0
2021.02.26 Heterogenous Transmission ChainsV1.xlsx,biter|victim:T204,7,0,5,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,3,0,2,0
Prediction4_3_AL1.xlsx,Sheet2:L27,10,0,4,0
Cilk Final Results_1_Thread.xlsx,100map:B45,1,0,1,0
Kopie von Frank.xlsx,BOM:A6,1,0,1,0
2017_03_10_Soil_Plant_Fert_Data_Combined.xlsx,1998_2008_SoilMerged_2017_03_09:B78,1,0,1,0
2018-lv4-wbs.xlsx,WBS Tree:E62,6,0,6,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CBJ5,2,0,1,0
location.xlsx,Nicaragua:E56,1,0,1,0
shoe_data.xlsx,Al Bundy:C14970,14967,165,2,171
20200324-進銷存-SF4_Vietnam_Silicom.xlsx,進銷存(總表):N23,1,0,1,0
出行属性.xlsx,Sheet1:M66068,1,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,Overall US Pres Results & PVIs:JJ12,3,0,3,0
allTweets.xlsx,all:A17295,2,0,1,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,218,3,72,3
Results_ICAPS21.xlsx,warehouse_96:AN330,2,0,1,0
targets_pubchem.xlsx,Inhibitor annotation:C79,1,0,1,0
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,1572,13,1,13
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,4470,61,1,62
darrell_schoolcraft__7302__imball0201.xlsx,by type_area:J4,65,1,64,1
Project Data.xlsx,Outcome Based on Goal:C10,4,0,1,0
02_simplified.xlsx,coef_evolutif:P23,10,0,1,0
Accidents.xlsx,Data:AF17,0,0,0,0
mary_fischer__25623__31Y.xlsx,E12.XLS:M33,15,0,15,0
Unit_updateMeBom.xlsx,Material Price:P1,101,1,1,1
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,504,4,252,4
Project Gantt Chart v2.xlsx,GanttChart:D3,562,4,73,5
FQAPEE6自动折弯贴胶机资料.xlsx,直线交点计算:B2,4,0,2,0
Test Runs.xlsx,Test 6:L8,4000,49,1,50
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,876,17,615,18
OECD.xlsx,AUT:R211,16,0,1,0
relacao_geral_-_vodanet_-_15-06-2012.xlsx,VODANET:C7,2,0,1,0
Datu_apstrade_11kl_programmesana.xlsx,4.uzdevums:F9,8,0,8,1
MLX90640 example data.xlsx,To calculation:B4,1668,60,54,62
Prices 2003-2006_Australia.xlsx,Año 2005:E194,1,0,1,0
2.3关键路径.xlsx,Sheet1:H7,15,0,8,0
Gowerton_2014_RainfallComparision.xlsx,NINJA WEATHER:B1684,13,0,2,0
GL_Driver_Safety_Report_ferguson_20211020_161749.xlsx,Report:Y5,2220,18,1,18
realme stock 10.08.21.xlsx,Daily Report:I11,7,0,5,0
imdb.xlsx,imdb:B3487,3,0,2,0
Section1All_xls.xlsx,10105 Qtr:FO10,2,0,1,0
PRODUCT_HIERARCHY 2016.05.20f.xlsx,Product_Hierarchy:K4636,2,0,1,0
Bauer_2011.xlsx,layer:J45,1,0,1,0
Demo_1.xlsx,10. Volatility:B15,9,0,6,0
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:B88,6,1,1,1
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M205,2,0,1,0
九点照度测试SOP.xlsx,九点照度测试-8:D33,2,0,1,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:A758,2,0,1,0
605ed6256e68b.xlsx,Province:A43,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,未审报表分析:D32,92,0,84,1
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B9,6,0,3,0
RF_num_trees.xlsx,Sheet1:FA309,0,0,0,0
工作簿1-20181123094550369.xlsx,不良明细:CBJ5,2,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:C10931,1,0,1,0
PATCOOL_Board_Wiring_Interfacev4.xlsx,Sheet1:F23,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,69509,719910,1505,719976
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,48920,589,9825,620
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C2,118,1,18,1
Volume 5.xlsx,Volume 5:A8945,1,0,1,0
realme stock 02.09.21.xlsx,Report:E6,7,0,5,0
industry_steel_cyclonefurnace_bof_production.xlsx,Research data:J13,5,0,4,0
工作簿1-20181122170147433.xlsx,不良明细:CBJ5,2,0,1,0
med4-rl-spider45-dno-peptides.xlsx,PTMs:A356175,17,0,2,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T33,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:P4,2922,37,367,38
co-2015-vr-12.xlsx,Gender & Status:E13,2,0,2,0
Tháng 06.xlsx,PV - 150.000:G14,6,0,6,0
keyref-jaws-nvda-voicover.xlsx,JAWS+NVDA+VOICEOVER:B62,2,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):H15,2,0,2,0
countytractfiles.xlsx,Sheet1:A6009,2,0,1,0
mercury1650pt.xlsx,siptm:BB918,0,0,0,0
Pezzini2016_SHSY5Ycelldiff_DE_table.xlsx,P<0.01_2FC:D1119,1,0,1,0
CarsMaintenance.xlsx,Sheet1:B5,5,0,5,0
robin_rodrigue__33343__Conversion.xlsx,Sheet1:B2201,1,1,1,1
Solution_lesson_2.xlsx,All:G144984,4001,37,1,38
MensTennisRPI.xlsx,RPI:H3,2613,22,1,23
NaiveBayesText-Expl.xlsx,English:C43,1,0,1,0
Adobe CommonSize.xlsx,Consolidated Statements of Inco:C6,29,1,6,1
Coding Task.xlsx,Coding:AM9393,2,0,1,0
JSON用attrib自動生成.xlsx,因子:B1,1,0,1,0
Penske CellComm Progress Tracking (1).xlsx,Implement Status:B131,290,5,2,5
20150429_PostElectionsAnalysis_NOMIS_DDJ_DecisionTreeData.xlsx,2010 results:B651,2,0,1,0
greige provision.xlsx,Final:Y5,5,0,5,0
main.xlsx,1m:B4816,8,1,3,1
30_70_2ptGuided.xlsx,Sheet1:I255,3,0,2,0
MasterTestData.xlsx,Algo Format:M5,326,5,324,5
Table_for_Geocoder_GO.xlsx,Table_for_Geocoder_GO:E7291,1,0,1,0
Excel_Assignment_6_Many-Sums-Sample-Data.xlsx,Sample Data:H4,3,0,3,0
laravel-excel-pHiphRYQehFmyMFXNhGtW1U1dRBETAXc.xlsx,ALL:A2162,50,1,1,1
transport_truck_using_compressed_natural_gas.converter.xlsx,Notes:G90,6,0,4,0
