fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :AW1,259,0,0,0,0
Datos.xlsx,Movimientos:L449,168,1,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:A26284,1225,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V10,769,8399,80,1,82
MR_2016Q4_Exam.xlsx,Sheet1:F1929,502,1,0,1,0
30-4.xlsx,Load-Displacement:D41,418,1439,11,1431,12
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,Bonus1:D8,350,4,0,1,0
KickstarterStats.xlsx,Outcomes Based on Goal:D12,336,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,nguyen vat lieu kho:K45,88,53,1,53,1
Surf_overlay_diag_E.xlsx,ZIKV:A41,273,5,0,2,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:H11754,586,2,0,2,0
crime_v3.xlsx,crime_v3:C11,3626,52484,445,1,467
StarterBook_jjree.xlsx,Original Data:I706,304,1,0,1,0
PV Angebots Tool.xlsx,PV-Data:H7852,1700,3,0,2,0
VIL-2015-12.xlsx,DEC 20:Q11,71,12,0,12,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S82,6727,8,0,8,0
Jan_2011.xlsx,Formatted Data:E1770,117,562,6,562,7
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J457,173,2,0,2,0
Solution_36.xlsx,Лист2:F13338,9251,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y38,179,8,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,2082,0,0,0,0
AP-Spring2018 (For Students).xlsx,HW6-Q1:M1,446,309,4,309,4
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:AF83,245,0,0,0,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:H6,152,34,0,33,0
resultsTesting10multi.xlsx,resultsTesting2504:P45,138,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,163,2,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A5,542,71,0,71,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,135,1,1,1,1
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,962,13,1,12,1
CL4.xlsx,Sheet30:B61,197,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,213,4,0,4,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:X287,254,2,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:H5362,1391,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CEA5,100,2,0,1,0
