fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :O2,269,220,3,220,3
Datos.xlsx,Movimientos:F596,107,2,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:D27245,922,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V9,618,8399,85,1,87
MR_2016Q4_Exam.xlsx,Sheet1:E2510,4847,2,0,2,0
30-4.xlsx,Load-Displacement:D25214,260,1439,27,1431,27
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,StatusByCategory:A3,330,8,0,2,0
KickstarterStats.xlsx,Outcomes Based on Goal:D2,325,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,BKE:F42,65,1249,15,1249,15
Surf_overlay_diag_E.xlsx,ZIKV:E1046472,440,1,0,1,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:M22325,518,2,0,2,0
crime_v3.xlsx,crime_v3:C81,2658,52484,667,1,690
StarterBook_jjree.xlsx,BONUS1:E7,294,3,0,1,0
PV Angebots Tool.xlsx,PV-Angebot:A2,1092,5,0,5,0
VIL-2015-12.xlsx,DEC 8:Q34,65,9,0,9,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S12749,4776,8,1,8,1
Jan_2011.xlsx,Formatted Data:D2700,133,3183,44,521,45
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J1876,180,2,0,2,0
Solution_36.xlsx,Лист2:G50849,7727,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y685,160,8,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,1834,0,0,0,0
AP-Spring2018 (For Students).xlsx,Final Project:J1,353,315,6,315,6
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:Z82,174,25,0,25,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:G345,109,49,0,48,0
resultsTesting10multi.xlsx,resultsTesting2504:H855,71,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,147,2,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,505,71,1,71,1
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Report:C6,134,4177,35,1,36
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,1025,13,0,13,0
CL4.xlsx,Sheet30:B35,164,7,1,6,1
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,132,5,1,5,1
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,181,3,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:J963,1372,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CBJ5,194,2,0,1,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,未审报表分析:D31,351,92,1,92,1
shoe_data.xlsx,Al Bundy:C14970,453,14967,154,3,159
出行属性.xlsx,Sheet1:M66068,1798,1,0,1,0
KickStarter Data Analysis.xlsx,Data:N2930,258,2,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,Overall US Pres Results & PVIs:JJ12,183,3,0,3,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:B44,389,6,0,1,0
allTweets.xlsx,all:A17295,654,2,0,1,0
Hypotheekrente.xlsx,Lineair:C114,212,991,16,991,17
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,130,218,3,89,3
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,210,1572,19,1,19
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,169,4470,44,1,45
ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,293,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:C10,209,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B5708,100,1,0,1,0
Accidents.xlsx,Data:AF17,351,0,0,0,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,833,504,3,504,4
Test Runs.xlsx,Test 6:L8,236,4000,42,1,43
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,601,876,18,615,18
DMD_PRJ.xlsx,IND:D4,826,6338,146,6335,149
Sample1.xlsx,Tabelle1:A773,1889,1,0,1,0
tasa-de-homicidios.xlsx,Vinculacion_Geografico:G32,114,718,5,1,5
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C1097,1508,10011,104,4,107
common.xlsx,Traditional:A1548,81,2,0,2,0
OECD.xlsx,AUT:R211,201,16,0,1,0
SolvedStarterBook.xlsx,Bonus:C12,149,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T1978,1735,4,0,1,0
FN-2016-2019(1).xlsx,2019:AB17,97,12,0,1,0
MLX90640 example data.xlsx,To calculation:B4,68,1668,49,1668,49
