fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :O2,234,220,2,220,2
Datos.xlsx,Movimientos:F596,104,2,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:D27245,803,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V9,641,8399,80,1,82
MR_2016Q4_Exam.xlsx,Sheet1:E2510,4640,2,0,2,0
30-4.xlsx,Load-Displacement:D25214,251,1439,19,1431,20
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,StatusByCategory:A3,322,8,0,2,0
KickstarterStats.xlsx,Outcomes Based on Goal:D2,341,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,BKE:F42,65,1249,14,1249,15
Surf_overlay_diag_E.xlsx,ZIKV:E1046472,414,1,0,1,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:M22325,544,2,0,2,0
crime_v3.xlsx,crime_v3:C81,2559,52484,736,1,751
StarterBook_jjree.xlsx,BONUS1:E7,317,3,0,1,0
PV Angebots Tool.xlsx,PV-Angebot:A2,1373,5,0,5,0
VIL-2015-12.xlsx,DEC 8:Q34,56,9,0,9,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S12749,4764,8,0,8,0
Jan_2011.xlsx,Formatted Data:D2700,148,3183,50,521,51
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J1876,125,2,0,2,0
Solution_36.xlsx,Лист2:G50849,7803,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y685,165,8,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,1780,0,0,0,0
AP-Spring2018 (For Students).xlsx,Final Project:J1,411,315,6,315,6
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:Z82,267,25,0,25,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:G345,202,49,1,48,1
resultsTesting10multi.xlsx,resultsTesting2504:H855,49,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,99,2,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,415,71,1,71,1
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Report:C6,106,4177,63,1,64
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,1085,13,0,13,0
CL4.xlsx,Sheet30:B35,174,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,158,5,0,5,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,173,3,0,2,0
