fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :O2,1899,220,2,220,2
Datos.xlsx,Movimientos:F596,118,2,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:D27245,1785,1,0,1,1
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V9,950,1,0,1,0
MR_2016Q4_Exam.xlsx,Sheet1:E2510,4839,2,0,2,0
30-4.xlsx,Load-Displacement:D25214,312,11,0,4,1
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,StatusByCategory:A3,492,2,0,2,0
KickstarterStats.xlsx,Outcomes Based on Goal:D2,528,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,BKE:F42,327,10,1,10,1
Surf_overlay_diag_E.xlsx,ZIKV:E1046472,697,1,0,1,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:M22325,409,2,0,2,0
crime_v3.xlsx,crime_v3:C81,3005,1,0,1,0
StarterBook_jjree.xlsx,BONUS1:E7,451,3,0,1,0
PV Angebots Tool.xlsx,PV-Angebot:A2,1335,5,0,5,0
VIL-2015-12.xlsx,DEC 8:Q34,138,9,0,9,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S12749,6585,8,0,8,0
Jan_2011.xlsx,Formatted Data:D2700,550,62,1,45,1
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J1876,209,2,0,2,0
Solution_36.xlsx,Лист2:G50849,9159,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y685,201,5,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,5840,0,0,0,0
AP-Spring2018 (For Students).xlsx,Final Project:J1,5703,3,0,3,0
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:Z82,506,25,0,25,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:G345,463,6,0,6,0
resultsTesting10multi.xlsx,resultsTesting2504:H855,174,2,0,2,1
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,441,1,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,831,71,0,71,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Report:C6,105,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,1286,11,0,11,0
CL4.xlsx,Sheet30:B35,350,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,380,5,1,5,1
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,311,3,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:J963,1607,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CBJ5,490,1,0,1,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,未审报表分析:D31,3104,22,1,22,1
shoe_data.xlsx,Al Bundy:C14970,401,2,0,2,0
出行属性.xlsx,Sheet1:M66068,1554,1,0,1,0
KickStarter Data Analysis.xlsx,Data:N2930,236,2,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,Overall US Pres Results & PVIs:JJ12,758,3,0,3,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:B44,704,6,0,1,0
allTweets.xlsx,all:A17295,567,2,0,1,0
Hypotheekrente.xlsx,Lineair:C114,555,14,0,14,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,844,84,2,77,3
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,275,2,0,1,0
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,180,1,0,1,0
ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,174,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:C10,242,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B5708,98,1,0,1,0
Accidents.xlsx,Data:AF17,482,0,0,0,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,11706,2,0,1,0
Test Runs.xlsx,Test 6:L8,515,1,0,1,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,3182,848,12,615,13
DMD_PRJ.xlsx,IND:D4,5198,813,10,813,11
Sample1.xlsx,Tabelle1:A773,1548,1,0,1,0
tasa-de-homicidios.xlsx,Vinculacion_Geografico:G32,142,1,0,1,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C1097,2064,9,1,4,1
common.xlsx,Traditional:A1548,290,2,0,2,0
OECD.xlsx,AUT:R211,363,2,0,1,0
SolvedStarterBook.xlsx,Bonus:C12,261,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T1978,2056,4,0,1,0
FN-2016-2019(1).xlsx,2019:AB17,428,12,1,1,1
MLX90640 example data.xlsx,To calculation:B4,228,64,0,64,0
منزل النور.xlsx,المشاريع:A3,1323,1,0,1,0
