fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,396,1,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,930,71,0,71,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Report:C6,287,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,5808,11,0,11,0
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,768,5,0,5,1
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,687,3,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:J963,2395,6,0,4,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,未审报表分析:D31,3623,23,0,22,0
shoe_data.xlsx,Al Bundy:C14970,554,2,0,2,0
出行属性.xlsx,Sheet1:M66068,2029,1,0,1,0
KickStarter Data Analysis.xlsx,Data:N2930,237,2,0,1,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:B44,872,6,0,1,0
Hypotheekrente.xlsx,Lineair:C114,582,14,0,14,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,627,84,1,77,1
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,232,2,0,1,0
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,219,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:C10,216,4,0,1,0
Accidents.xlsx,Data:AF17,313,0,0,0,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,13028,2,0,1,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,8005,849,16,615,29
DMD_PRJ.xlsx,IND:D4,7237,813,24,813,33
Sample1.xlsx,Tabelle1:A773,2538,1,0,1,0
tasa-de-homicidios.xlsx,Vinculacion_Geografico:G32,394,1,0,1,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C1097,3524,9,0,4,0
common.xlsx,Traditional:A1548,395,2,0,2,0
OECD.xlsx,AUT:R211,535,2,0,1,0
SolvedStarterBook.xlsx,Bonus:C12,511,4,1,1,1
ventasCocaCola_matrícula_solucion.xlsx,Datos:T1978,3106,4,0,1,0
MLX90640 example data.xlsx,To calculation:B4,262,64,1,64,1
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:J1,1775,3,0,2,0
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:B88,1225,6,0,1,0
accum-temperature.xlsx,Лист1:B2885,4609,2,0,2,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:A758,410,2,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,未审报表分析:D32,3204,23,0,22,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B9,267,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U3441,220,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CBJ5,465,1,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:C10931,813,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,16624,263,4,13,4
edevlet-mezarlik-verileri.xlsx,Toplam:B73,325,1,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1827,11,1,11,1
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C2,1297,30,1,29,1
工作簿1-20181122170147433.xlsx,不良明细:CBJ5,756,1,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:E13,810,20,0,5,0
FullRes Capture conversion.xlsx,Peaks:E5,2724,1,0,1,0
2017 PoB by Race All.xlsx,PoB KC Tracts:Y342,761,6,0,6,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T33,140,4,0,3,0
freeze_example.xlsx,Sheet:B1043,598,1,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):H15,284,2,0,2,0
countytractfiles.xlsx,Sheet1:A6009,87,2,0,1,0
Ex4-5 Team Rating v2 (4).xlsx,Model:O2914,2020,9,0,3,0
Solution_lesson_2.xlsx,All:G144984,576,1,0,1,0
MensTennisRPI.xlsx,RPI:H3,6610,1,0,1,0
webStore.xlsx,WebStore_dupes_marked:M2,5039,2,0,2,0
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,637,1,0,1,0
fin-v8.xlsx,Sheet:F12022,10548,2,0,1,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:J16021,3548,2,0,1,0
Coding Task.xlsx,Coding:AM9393,1061,2,0,1,0
greige provision.xlsx,Final:Y5,961,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:F73,1061,11,0,10,0
main.xlsx,1m:B4816,2672,6,0,5,0
30_70_2ptGuided.xlsx,Sheet1:I255,9154,2,0,2,0
MasterTestData.xlsx,Algo Format:M5,455,21,0,21,0
工作簿1-20181122140451052.xlsx,不良明细:CBJ5,494,1,0,1,0
Scen_SE_IND_DemandProj.xlsx,Convergence programme:K303,452,292,3,292,3
HS_videos_Smit_Cross_augmented_v06.xlsx,datapura:K1603,1225,231,2,229,3
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:B88,1095,6,0,1,0
DPS Calculator - Ninja.xlsx,Weaponskill:B543,600,3,1,1,1
BBG_Security_Application_User_List_v5_1.xlsx,Position:BF5,32407,1,0,1,0
Quizzes_17.2_17.3.xlsx,Quiz 17.3:D1,1940,26,0,24,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):G18,270,7,0,7,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,3289,1,0,1,0
工作簿1-20181122154759510.xlsx,不良明细:CBJ5,818,1,0,1,0
Raw.xlsx,calcs:BE53,291,0,0,0,0
P_Gh_T_S.xlsx,Sheet1:C1003,235,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:E13,3269,4,0,3,0
all cases and contacts 2021-07-01.xlsx,summary:C599,2593,30,0,23,0
data_problem.xlsx,PVs:B5,1975,2,0,1,0
