fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,1937,3,10,1,10
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,614,205,9,205,10
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2962,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,172,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,1346,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,192,17,1,17,1
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,154,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,155,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,412,66,1,66,1
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,322,42,1,40,1
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,2843,14,1,12,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,284,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,822,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,1283,35,0,35,1
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,318,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,457,7,1,5,1
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,118,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,1315,565,9,565,11
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,527,129,2,129,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,591,6479,65,6479,80
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,723,297,3,297,4
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,384,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N28,131,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,864,3,0,2,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,380,1,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,347,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,370,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2985,28,0,27,0
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,555,745,11,735,12
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,1108,0,1,0,1
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,242,345,5,345,5
kevin_presto_000_1_1.pst.261.xls,Results:K5551,80,2,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,145,29,0,26,1
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,148,4,0,4,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,2328,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,302,11,0,11,0
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,137,0,1,0,1
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,376,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,5446,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,1065,45,1,44,1
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,347,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NP15:B4,296,58,0,54,0
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1140,4,0,4,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,3923,3535,66,3535,72
mark_taylor_001_1_1.pst.58.xls,Sheet1:M4,562,11,1,10,1
andy_zipper_000_1_1.pst.70.xls,DD-ENA:F500,128,4,0,4,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D61,616,958,14,947,15
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:Y86,717,270,3,270,3
don_baughman_000_1_1.pst.128.xls,Sheet1:C20,246,37,0,21,0
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U429,98,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-ENA:F500,129,4,0,4,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:B9,127,1,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C20,346,37,0,21,0
john_zufferli_000_1_1.pst.54.xls,DATA:F1556,62,2,0,1,0
chris_germany_000_1_2.pst.164.xls,gatherco:J3,246,104,1,104,1
andy_zipper_000_1_1.pst.85.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1105,4,0,4,0
kevin_hyatt_000_1_1.pst.120.xls,PNM 500617:H12,114,36,0,33,0
jim_schwieger_000_1_1.pst.105.xls,Sheet1:BR179,413,119,3,104,3
vkaminski_002_1_1_1.pst.12.xls,5d. 7.6:D4,4286,25,0,13,0
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:K3439,885,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Swap:AG9,343,0,0,0,0
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:BT499,1062,0,0,0,0
andy_zipper_000_1_1.pst.144.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1102,4,1,4,1
robin_rodrigue_000_1_1.pst.12.xls,Detail:J4400,159,1,1,1,1
andy_zipper_000_1_1.pst.21.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1439,4,0,4,0
lindy_donoho_000_1_1_1.pst.123.xls,SJ by Month:H28,286,108,2,108,2
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D61,750,958,13,947,13
don_baughman_000_1_1.pst.189.xls,Sheet1:C20,344,37,0,21,0
fletcher_sturm_000_1_1.pst.99.xls,Cash:D1,954,171,1,171,2
don_baughman_000_1_1.pst.200.xls,8-1:C20,671,37,0,21,0
juan_hernandez_000_1_1.pst.10.xls,Sheet1:C20,329,37,0,21,0
robin_rodrigue_000_1_1.pst.159.xls,Detail:J4400,175,1,0,1,0
vkaminski_002_1_1_1.pst.276.xls,Gas Curves:BV2,584,0,0,0,0
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AW14,1088,13,0,13,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,977,105,2,59,2
dutch_quigley_000_1_1.pst.202.xls,Position:Z2,908,49,1,26,1
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,990,105,2,59,2
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):F500,1170,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B759,932,19,1,19,1
don_baughman_000_1_1.pst.190.xls,Sheet1:C20,329,37,0,21,0
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:Y86,739,270,2,270,3
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AW14,798,13,1,13,1
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,246,3,0,3,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,283,10,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,431,225,2,216,2
michelle_lokay_000_1_2_1.pst.24.xls,PNM 500617:H12,100,33,0,30,0
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,143,19,0,19,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,103,5,0,5,0
don_baughman_000_1_1.pst.152.xls,Sheet1:C20,353,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,133,4,0,4,0
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,2474,2971,41,2967,45
andy_zipper_000_1_1.pst.92.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1087,4,1,4,1
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,174,1,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,738,297,2,297,2
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,1189,565,6,565,6
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,747,297,2,297,2
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,318,44,1,44,1
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,279,5,0,3,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,374,259,3,259,3
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,1805,2033,29,2030,31
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,1328,0,0,0,0
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,244,345,4,345,4
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,327,37,1,21,1
eric_saibi_000_1_1.pst.218.xls,Graph:D4,177,3,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,133,4,0,4,0
phillip_m_love_000_1_1.pst.672.xls,m1:A5,1722,4,0,3,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,1262,565,7,565,7
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1105,4,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,326,37,0,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,197,41,0,41,0
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,821,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:AF154,243,2,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,254,345,4,345,4
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,279,5,0,3,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,872,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,346,247,4,247,4
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,1255,565,7,565,7
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,275,3,0,3,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,215,8,0,8,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,3081,28,0,27,0
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,1038,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,126,4,0,4,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,2035,13,0,13,0
andy_zipper_000_1_1.pst.115.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1046,4,0,4,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,2180,1,0,1,0
lynn_blair_000_1_1.pst.12.xls,USGT 500616:G12,172,41,0,41,1
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:D22,5008,90,2,89,2
mike_grigsby_000_1_1_1.pst.106.xls,Power Curve:J5,2557,133,2,66,2
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:C58,1314,565,7,565,8
don_baughman_000_1_1.pst.191.xls,Sheet1:C20,325,37,0,21,0
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C20,325,37,1,21,1
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D2,69,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:A9,127,1,0,1,0
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,464,40,1,38,1
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:L14,251,14,0,7,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,213,6,0,5,0
