fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,939,3,28,1,28
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,262,2978,70,2978,77
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1845,4385,184,4385,193
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,199,306,1,306,2
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,220,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,102,131,2,131,2
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,251,306,2,306,3
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,158,1,1,1,1
david_delainey_000_1_2.pst.137.xls,ENA:U13,96,66,1,66,1
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,152,357,4,345,4
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,553,416,9,403,9
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,127,613,4,2,5
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1017,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,351,3793,68,3791,75
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,92,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,368,7,1,5,1
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,48,199,1,199,2
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,232,667,7,667,8
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,138,1113,9,1113,11
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,296,6479,50,6479,57
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,256,729,5,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,109,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N28,93,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,205,720,5,720,6
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,226,668,5,1,5
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,109,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,109,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1609,4385,77,4385,82
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,155,875,10,865,11
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,218,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,72,543,5,543,6
kevin_presto_000_1_1.pst.261.xls,Results:K5551,99,3,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,71,1986,16,508,17
