fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AW14,245,13,0,13,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,450,10866,262,10866,269
dutch_quigley_000_1_1.pst.202.xls,Position:Z2,334,2555,46,2532,48
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,407,10866,277,10866,286
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):F500,619,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B759,568,19,0,19,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C20,110,37,0,21,0
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:Y86,258,270,4,270,4
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AW14,175,13,0,13,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,91,61,1,61,1
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,99,716,85,716,86
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,151,225,4,216,4
michelle_lokay_000_1_2_1.pst.24.xls,PNM 500617:H12,45,236,2,232,3
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,92,3948,56,3948,59
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,96,4808,11723,3231,11726
don_baughman_000_1_1.pst.152.xls,Sheet1:C20,110,37,1,21,1
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,156,306,2,306,2
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,880,4545,94,4541,98
andy_zipper_000_1_1.pst.92.xls,TRANSACTIONSUMMARYREPORT -1:N4780,822,9,0,4,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,86,825,9,1,10
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,264,729,8,729,9
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,234,667,11,667,12
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,257,729,9,729,9
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,95,46,0,45,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,233,1077,13,1077,14
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,111,259,4,259,4
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,741,2973,67,2970,69
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,397,0,0,0,0
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,78,543,8,543,8
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,112,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,97,49,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,72,8,0,8,0
phillip_m_love_000_1_1.pst.672.xls,m1:A5,607,523,5,523,6
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,239,667,12,667,13
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,906,9,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,111,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,152,349,4,349,5
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,170,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:AF154,107,2,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,74,543,8,543,8
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,235,1077,13,1077,14
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,669,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,108,251,3,251,3
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,292,667,11,667,11
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,91,61,1,61,1
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,84,8,0,8,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,1784,4385,408,4385,412
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,224,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,67,8,1,8,1
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,474,13,0,13,0
andy_zipper_000_1_1.pst.115.xls,TRANSACTIONSUMMARYREPORT -1:N4780,902,9,0,4,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1455,20,0,1,0
lynn_blair_000_1_1.pst.12.xls,USGT 500616:G12,80,349,5,349,5
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:D22,1595,5959,119,5958,123
mike_grigsby_000_1_1_1.pst.106.xls,Power Curve:J5,1171,31738,1733,31738,1764
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:C58,245,667,14,667,14
don_baughman_000_1_1.pst.191.xls,Sheet1:C20,110,37,1,21,1
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C20,112,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D2,74,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:A9,71,693,8,1,8
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,123,43,0,41,1
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:L14,218,14,0,7,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,139,372,4,371,4
andy_zipper_000_1_1.pst.71.xls,DD-ENA:F500,67,8,0,8,0
louise_kitchen_000_1_1_1_1.pst.212.xls,West Power Origination:M21,82,54,0,54,0
dan_hyvl_000_1_1.pst.112.xls,Seller's's PP Calc:A12,87,481,5,481,6
andy_zipper_000_1_1.pst.54.xls,DD-ENA:F500,68,6,0,6,1
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,365,729,7,729,8
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:C2327,137,3,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Mar:I16,110,142,2,142,2
benjamin_rogers_000_1_1.pst.12.xls,Raw Data:A27129,350,3,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Power Curve:J5,1279,34481,1666,34481,1699
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,113,139,1,139,1
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3288,375,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,157,306,2,306,2
tracy_geaccone_000_1_1.pst.307.xls,WESTCompare0201:AP7,484,0,0,0,0
jeff_dasovich_000_1_1_1.pst.91.xls,Sept 22:K80,82,9,0,8,0
