fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
dutch_quigley_000_1_1.pst.202.xls,A:DR249,340,493,6,492,6
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,529,10866,270,10866,279
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,773,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,531,18,0,18,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,113,37,0,21,0
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,265,223,2,222,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,179,0,0,0,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,104,61,1,61,1
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,120,716,402,716,403
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,180,2,0,2,0
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,47,235,11,233,11
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,113,69,0,16,1
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,118,4808,12858,3231,12862
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,131,37,1,21,1
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,175,306,2,306,3
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,1353,0,0,0,0
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,1385,3,0,3,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:K727,279,3,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,706,729,8,729,9
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:D92,509,461,110,461,111
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,753,729,14,729,14
benjamin_rogers_001_1_1.pst.2.xls,Wilton:T114,217,35,1,35,1
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:D30,346,6,0,2,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J28,128,259,4,259,4
benjamin_rogers_000_1_1.pst.190.xls,CALC:FA17,1023,0,0,0,0
tracy_geaccone_000_1_1.pst.308.xls,Annual Fuel Calc Alt:I30,722,69,1,69,1
benjamin_rogers_000_1_1.pst.142.xls,Debt:B54,88,366,6,364,6
