fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,693,297,3,297,3
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,1084,565,6,565,7
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,693,297,2,297,3
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,324,44,0,44,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,252,5,0,3,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,351,259,3,259,3
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,1719,2033,28,2030,30
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,1237,210,3,208,3
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,222,345,3,345,4
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,314,37,1,21,1
eric_saibi_000_1_1.pst.218.xls,Graph:D4,170,3,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,121,4,0,4,0
phillip_m_love_000_1_1.pst.672.xls,m1:A5,1738,4,0,3,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,1228,565,7,565,7
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,994,4,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,299,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,166,41,1,41,1
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,788,224,5,212,5
john_griffith_000_1_1.pst.546.xls,Power:AF154,236,10,0,8,0
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,217,345,4,345,4
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,252,5,0,3,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,826,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,312,247,3,247,3
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,1096,565,6,565,6
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,224,3,0,3,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,194,8,0,8,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,2766,28,0,27,0
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,1017,4,0,4,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,114,4,0,4,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,1863,62,1,61,1
