fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,1190,3,25,1,26
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,267,2978,72,2978,82
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2482,4385,107,4385,114
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,245,306,1,306,2
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,286,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,159,131,1,131,2
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,214,306,1,306,1
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,198,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,119,23,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,127,294,1,1,2
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,654,33,0,19,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,159,613,4,2,4
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1343,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,461,3150,45,3150,49
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,118,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,668,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,95,199,2,199,3
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,297,461,5,461,5
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,168,126,1,108,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,347,6479,42,6478,49
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,334,729,5,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,139,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N470,119,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,264,239,1,1,1
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,355,669,5,1,5
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,140,37,0,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,142,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2061,4385,78,4385,82
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,193,236,2,236,2
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,280,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,85,366,3,364,3
kevin_presto_000_1_1.pst.261.xls,Results:K40,121,3,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,90,36,0,1,0
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,88,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,523,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,221,1999,16,1999,18
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,79,310,3,310,3
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,136,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,2164,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,618,17,0,17,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,137,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,93,211,2,160,2
