fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,1012,3,27,1,27
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,260,2978,71,2978,80
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2018,4385,107,4385,113
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,164,306,2,306,2
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,267,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,74,131,1,131,1
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,257,306,2,306,3
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,252,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,100,66,0,66,0
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,372,357,4,345,4
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,518,416,5,403,5
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,133,613,3,2,4
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1085,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,365,3793,66,3791,73
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,96,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,392,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,49,199,1,199,1
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,245,667,6,667,7
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,144,1113,8,1113,10
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,262,6479,49,6479,58
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,267,729,5,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,113,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N28,98,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,209,720,5,720,6
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,237,668,5,1,5
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,114,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,114,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1684,4385,79,4385,83
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,174,875,9,865,10
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,228,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,75,543,4,543,5
kevin_presto_000_1_1.pst.261.xls,Results:K5551,104,3,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,97,1986,12,508,13
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,76,8,1,8,1
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,470,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,180,1999,17,1999,18
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,67,0,0,0,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,114,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,1738,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,498,8312,116,8302,126
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,115,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NP15:B4,83,285,2,234,2
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,908,9,1,4,1
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,970,18786,123,18786,141
mark_taylor_001_1_1.pst.58.xls,Sheet1:M4,281,8445,115,8445,122
andy_zipper_000_1_1.pst.70.xls,DD-ENA:F500,72,8,0,8,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D61,183,1098,12,1087,13
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:Y86,314,270,1,270,2
don_baughman_000_1_1.pst.128.xls,Sheet1:C20,78,37,1,21,1
